Date,VHT
2021-04-19,220.1840057373047
2021-04-20,220.79751586914062
2021-04-21,223.9205322265625
2021-04-22,223.0468292236328
2021-04-23,224.766357421875
2021-04-26,225.09169006347656
2021-04-27,223.8647918701172
2021-04-28,223.40931701660156
2021-04-29,222.00582885742188
2021-04-30,221.4295196533203
2021-05-03,222.9446258544922
2021-05-04,221.8663787841797
2021-05-05,221.56893920898438
2021-05-06,221.32728576660156
2021-05-07,223.21414184570312
2021-05-10,221.8199462890625
2021-05-11,220.40711975097656
2021-05-12,217.8231658935547
2021-05-13,219.33819580078125
2021-05-14,221.08563232421875
2021-05-17,220.6487579345703
2021-05-18,221.0019989013672
2021-05-19,220.44427490234375
2021-05-20,223.20484924316406
2021-05-21,223.07472229003906
2021-05-24,223.41860961914062
2021-05-25,222.85162353515625
2021-05-26,222.2196044921875
2021-05-27,221.95933532714844
2021-05-28,223.05612182617188
2021-06-01,219.70997619628906
2021-06-02,219.23593139648438
2021-06-03,219.89590454101562
2021-06-04,220.76031494140625
2021-06-07,222.55421447753906
2021-06-08,222.2567901611328
2021-06-09,224.13433837890625
2021-06-10,227.9637908935547
2021-06-11,226.82980346679688
2021-06-14,227.08078002929688
2021-06-15,226.2907257080078
2021-06-16,225.6029052734375
2021-06-17,227.50831604003906
2021-06-18,225.0544891357422
2021-06-21,227.80575561523438
2021-06-22,228.54937744140625
2021-06-23,227.64772033691406
2021-06-24,228.94248962402344
2021-06-25,230.3313446044922
2021-06-28,230.76947021484375
2021-06-29,230.69493103027344
2021-06-30,230.35935974121094
2021-07-01,232.46597290039062
2021-07-02,233.9014434814453
2021-07-06,233.3235321044922
2021-07-07,233.938720703125
2021-07-08,233.28627014160156
2021-07-09,234.0506134033203
2021-07-12,234.47006225585938
2021-07-13,233.44471740722656
2021-07-14,232.13973999023438
2021-07-15,231.74819946289062
2021-07-16,232.50328063964844
2021-07-19,230.93727111816406
2021-07-20,234.00399780273438
2021-07-21,234.6751251220703
2021-07-22,235.79373168945312
2021-07-23,238.11474609375
2021-07-26,236.27841186523438
2021-07-27,236.9309539794922
2021-07-28,238.6273956298828
2021-07-29,238.81387329101562
2021-07-30,239.0189208984375
2021-08-02,239.24261474609375
2021-08-03,242.1136016845703
2021-08-04,241.56365966796875
2021-08-05,241.2653045654297
2021-08-06,240.4357452392578
2021-08-09,240.98570251464844
2021-08-10,239.77395629882812
2021-08-11,237.47157287597656
2021-08-12,239.34515380859375
2021-08-13,240.230712890625
2021-08-16,242.13221740722656
2021-08-17,244.79818725585938
2021-08-18,241.38653564453125
2021-08-19,241.82464599609375
2021-08-20,243.62367248535156
2021-08-23,244.68629455566406
2021-08-24,244.28550720214844
2021-08-25,243.9871826171875
2021-08-26,242.83139038085938
2021-08-27,243.2507781982422
2021-08-30,244.6584014892578
2021-08-31,244.6769561767578
2021-09-01,245.18968200683594
2021-09-02,247.79959106445312
2021-09-03,247.79959106445312
2021-09-07,246.36415100097656
2021-09-08,245.8794708251953
2021-09-09,243.5863800048828
2021-09-10,241.40521240234375
2021-09-13,239.59683227539062
2021-09-14,239.1680145263672
2021-09-15,240.8831787109375
2021-09-16,240.40780639648438
2021-09-17,241.22808837890625
2021-09-20,238.263916015625
2021-09-21,238.80453491210938
2021-09-22,239.3731231689453
2021-09-23,241.2840118408203
2021-09-24,239.90443420410156
2021-09-27,237.03343200683594
2021-09-28,232.30747985839844
2021-09-29,233.601318359375
2021-09-30,231.21578979492188
2021-10-01,231.7116241455078
2021-10-04,228.10060119628906
2021-10-05,229.13900756835938
2021-10-06,228.79286193847656
2021-10-07,231.56192016601562
2021-10-08,230.25225830078125
2021-10-11,228.64320373535156
2021-10-12,227.98837280273438
2021-10-13,228.22222900390625
2021-10-14,231.5338592529297
2021-10-15,232.4132537841797
2021-10-18,230.598388671875
2021-10-19,233.5731964111328
2021-10-20,236.4639129638672
2021-10-21,237.77359008789062
2021-10-22,238.260009765625
2021-10-25,238.50323486328125
2021-10-26,239.6538848876953
2021-10-27,237.3806915283203
2021-10-28,239.85971069335938
2021-10-29,241.7775115966797
2021-11-01,242.20779418945312
2021-11-02,243.67654418945312
2021-11-03,245.49139404296875
2021-11-04,244.031982421875
2021-11-05,241.81491088867188
2021-11-08,242.96554565429688
2021-11-09,241.70263671875
2021-11-10,241.47813415527344
2021-11-11,240.97296142578125
2021-11-12,241.86166381835938
2021-11-15,240.31813049316406
2021-11-16,241.35650634765625
2021-11-17,241.31907653808594
2021-11-18,240.74850463867188
2021-11-19,239.260986328125
2021-11-22,237.904541015625
2021-11-23,237.726806640625
2021-11-24,237.904541015625
2021-11-26,236.36097717285156
2021-11-29,236.35162353515625
2021-11-30,232.17002868652344
2021-12-01,230.9912872314453
2021-12-02,232.10452270507812
2021-12-03,231.36546325683594
2021-12-06,232.7687225341797
2021-12-07,236.7164764404297
2021-12-08,238.7090606689453
2021-12-09,237.86709594726562
2021-12-10,238.19454956054688
2021-12-13,240.31813049316406
2021-12-14,239.15809631347656
2021-12-15,244.4810791015625
2021-12-16,244.52606201171875
2021-12-17,244.59181213378906
2021-12-20,243.0808868408203
2021-12-21,244.76075744628906
2021-12-22,247.3883056640625
2021-12-23,248.514404296875
2021-12-27,250.25987243652344
2021-12-28,249.25575256347656
2021-12-29,250.1941680908203
2021-12-30,251.0387420654297
2021-12-31,250.01588439941406
2022-01-03,248.4112091064453
2022-01-04,244.42286682128906
2022-01-05,241.43865966796875
2022-01-06,238.39816284179688
2022-01-07,236.9342041015625
2022-01-10,239.47735595703125
2022-01-11,241.44801330566406
2022-01-12,240.07791137695312
2022-01-13,235.9207000732422
2022-01-14,235.75181579589844
2022-01-18,231.2942657470703
2022-01-19,230.30886840820312
2022-01-20,228.94821166992188
2022-01-21,226.5270233154297
2022-01-24,226.26429748535156
2022-01-25,224.1434783935547
2022-01-26,222.932861328125
2022-01-27,222.2666015625
2022-01-28,227.3622589111328
2022-01-31,230.23382568359375
2022-02-01,231.11595153808594
2022-02-02,233.26498413085938
2022-02-03,231.68836975097656
2022-02-04,231.26611328125
2022-02-07,231.11595153808594
2022-02-08,233.02096557617188
2022-02-09,235.82688903808594
2022-02-10,232.13882446289062
2022-02-11,228.7698974609375
2022-02-14,226.47079467773438
2022-02-15,229.58631896972656
2022-02-16,229.4643096923828
2022-02-17,225.17567443847656
2022-02-18,223.39268493652344
2022-02-22,222.5105743408203
2022-02-23,220.78387451171875
2022-02-24,222.9235076904297
2022-02-25,229.4174041748047
2022-02-28,227.98165893554688
2022-03-01,226.75228881835938
2022-03-02,230.21507263183594
2022-03-03,230.5059814453125
2022-03-04,230.9001007080078
2022-03-07,226.98687744140625
2022-03-08,222.6138153076172
2022-03-09,227.27780151367188
2022-03-10,227.07131958007812
2022-03-11,224.4530792236328
2022-03-14,224.91294860839844
2022-03-15,229.3141632080078
2022-03-16,233.0491485595703
2022-03-17,237.4221649169922
2022-03-18,239.22396850585938
2022-03-21,238.62335205078125
2022-03-22,239.1019744873047
2022-03-23,234.3347930908203
2022-03-24,237.51776123046875
2022-03-25,238.05421447753906
2022-03-28,239.8894500732422
2022-03-29,241.95994567871094
2022-03-30,242.06346130371094
2022-03-31,239.4094696044922
2022-04-01,242.4776153564453
2022-04-04,240.915283203125
2022-04-05,240.74586486816406
2022-04-06,243.8328094482422
2022-04-07,247.98330688476562
2022-04-08,248.90567016601562
2022-04-11,243.71990966796875
2022-04-12,241.66822814941406
2022-04-13,243.43760681152344
2022-04-14,241.97877502441406
2022-04-18,238.65652465820312
2022-04-19,241.18820190429688
2022-04-20,244.08697509765625
2022-04-21,240.80235290527344
2022-04-22,232.2755126953125
2022-04-25,233.9507598876953
2022-04-26,228.89683532714844
2022-04-27,228.46388244628906
2022-04-28,231.00498962402344
2022-04-29,225.3863067626953
2022-05-02,224.71812438964844
2022-05-03,225.292236328125
2022-05-04,230.1485137939453
2022-05-05,224.93460083007812
2022-05-06,223.37225341796875
2022-05-09,216.50184631347656
2022-05-10,217.95123291015625
2022-05-11,215.6077880859375
2022-05-12,217.9324188232422
2022-05-13,221.2452392578125
2022-05-16,222.63815307617188
2022-05-17,226.29922485351562
2022-05-18,220.13470458984375
2022-05-19,220.83119201660156
2022-05-20,223.49461364746094
2022-05-23,225.25457763671875
2022-05-24,225.23574829101562
2022-05-25,225.44281005859375
2022-05-26,226.7039337158203
2022-05-27,230.85435485839844
2022-05-31,227.5509796142578
2022-06-01,223.99342346191406
2022-06-02,226.5815887451172
2022-06-03,224.24752807617188
2022-06-06,223.9652099609375
2022-06-07,227.11807250976562
2022-06-08,225.51808166503906
2022-06-09,220.1817626953125
2022-06-10,216.39834594726562
