,MGK
2021-06-22,99.0048060767742
2021-06-23,99.86791543225367
2021-06-24,100.77007168665033
2021-06-25,102.04651258369717
2021-06-28,101.40074425459741
2021-06-29,101.08321011614765
2021-06-30,100.37697911002847
2021-07-01,100.36711518135616
2021-07-02,101.01466588852139
2021-07-05,99.56570267916506
2021-07-06,98.3961228287756
2021-07-07,99.24678703355465
2021-07-08,99.94219137859778
2021-07-09,99.04112504613926
2021-07-12,101.15851691617823
2021-07-13,101.74815662065193
2021-07-14,101.45511733661223
2021-07-15,100.32787437377183
2021-07-16,102.48395236050673
2021-07-19,102.22091336571091
2021-07-20,102.2575080111825
2021-07-21,101.8418682110793
2021-07-22,101.48431094000063
2021-07-23,101.35090358379017
2021-07-26,102.02942414803246
2021-07-27,101.60883996082137
2021-07-28,101.49969180916729
2021-07-29,102.8339902771858
2021-07-30,103.52675284932849
2021-08-02,103.23724836681048
2021-08-03,104.17238269001632
2021-08-04,103.92079120501477
2021-08-05,103.82470640710393
2021-08-06,102.95786738958412
2021-08-09,102.0286767936501
2021-08-10,103.84527946168338
2021-08-11,101.04996021319359
2021-08-12,101.95657818541359
2021-08-13,101.74177439504788
2021-08-16,99.84194640093659
2021-08-17,99.56210374318587
2021-08-18,97.43741452044789
2021-08-19,98.25823402903285
2021-08-20,97.69878167759741
2021-08-23,97.41409147234657
2021-08-24,97.15915712793644
2021-08-25,95.81835326426094
2021-08-26,96.55691530400455
2021-08-27,94.94380944205028
2021-08-30,95.465297537183
2021-08-31,93.52019491222457
2021-09-01,92.40152052493768
2021-09-02,92.91809606716768
2021-09-03,94.25752302822985
2021-09-06,93.80379820021926
2021-09-07,94.64063416970822
2021-09-08,96.05588884944993
2021-09-09,95.0388198115587
2021-09-10,95.46510529381081
2021-09-13,94.82990479590376
2021-09-14,95.33607192305197
2021-09-15,94.89928280839449
2021-09-16,94.80381512896908
2021-09-17,95.25508959497299
2021-09-20,95.7717516890454
2021-09-21,95.61585493664506
2021-09-22,95.42066657086623
2021-09-23,93.97065462728908
2021-09-24,92.29902748284738
2021-09-27,91.27532168695845
2021-09-28,90.84155175186956
2021-09-29,88.1837945265035
2021-09-30,87.00229998975502
2021-10-01,86.86821989234488
2021-10-04,89.45273110299784
2021-10-05,89.48807637355848
2021-10-06,88.79983619480181
2021-10-07,88.80199291286995
2021-10-08,88.92956287933528
2021-10-11,87.86055633701017
2021-10-12,90.76898762178327
2021-10-13,90.11590992208572
2021-10-14,91.67421614987745
2021-10-15,89.7902687216968
2021-10-18,88.23726961387396
2021-10-19,89.65804420601575
2021-10-20,88.46042324431622
2021-10-21,88.76329400024534
2021-10-22,89.48161380703047
2021-10-25,87.60099733517946
2021-10-26,89.71675448730184
2021-10-27,89.34288380535327
2021-10-28,89.25127513508392
2021-10-29,87.83782939418313
2021-11-01,86.26761187214237
2021-11-02,86.43087026858383
2021-11-03,85.92419571223905
2021-11-04,84.90922790764573
2021-11-05,85.80443059338585
2021-11-08,87.45213949484898
2021-11-09,85.80476761394652
2021-11-10,84.17753410781101
2021-11-11,84.49162580031343
2021-11-12,84.61733393106788
2021-11-15,84.8601097923915
2021-11-16,85.99635375109345
2021-11-17,84.66944830717006
2021-11-18,83.89008685162523
2021-11-19,83.69514549633146
2021-11-22,83.26585826323043
2021-11-23,82.5244219678903
2021-11-24,83.0370047854562
2021-11-25,82.82088316065496
2021-11-26,81.58000481903397
2021-11-29,81.00832388342215
2021-11-30,80.86261678989467
2021-12-01,80.7752065365436
2021-12-02,80.72411946300078
2021-12-03,79.6230588585367
2021-12-06,79.46264487105998
2021-12-07,78.99539632747471
2021-12-08,79.04639021308193
2021-12-09,79.51037666089962
2021-12-10,79.38378733776659
2021-12-13,79.63471030111899
2021-12-14,79.13655744816973
2021-12-15,79.24963531725054
2021-12-16,78.03915366923725
2021-12-17,77.55254823545708
2021-12-20,77.6546657539404
2021-12-21,77.89131624089019
2021-12-22,80.49434361569185
2021-12-23,80.45396872398274
2021-12-24,82.32034666293102
2021-12-27,82.31795852910048
2021-12-28,83.1522677646636
2021-12-29,83.64054010905186
2021-12-30,84.02720423423027
2021-12-31,84.3547322991905
2022-01-03,82.95376931623157
2022-01-04,83.30494591346232
2022-01-05,83.37740381228366
2022-01-06,83.99539824608586
2022-01-07,85.40679606754254
2022-01-10,87.7476187713099
2022-01-11,88.62320660811702
2022-01-12,88.0823691849119
2022-01-13,87.16109573765796
2022-01-14,86.22402548216446
2022-01-17,86.24606932329444
2022-01-18,86.35509454995332
2022-01-19,86.70241434572578
2022-01-20,86.8179864898717
2022-01-21,86.09382544773231
2022-01-24,85.09654113835865
2022-01-25,84.74392606758143
2022-01-26,83.79215585454848
2022-01-27,82.62076283036087
2022-01-28,83.0568174970538
2022-01-31,83.7632868464139
2022-02-01,84.23398122163968
2022-02-02,84.75275003424385
2022-02-03,83.97090750102544
2022-02-04,84.17358506755784
2022-02-07,84.714938218535
2022-02-08,82.4531934464858
2022-02-09,81.09443591769995
2022-02-10,80.37194437516088
