Date,XLV
2021-04-19,112.10961151123047
2021-04-20,112.5432357788086
2021-04-21,113.87183380126953
2021-04-22,113.36439514160156
2021-04-23,114.11173248291016
2021-04-26,113.72423553466797
2021-04-27,113.06915283203125
2021-04-28,112.72777557373047
2021-04-29,112.27568054199219
2021-04-30,111.94351959228516
2021-05-03,113.21675872802734
2021-05-04,113.33671569824219
2021-05-05,113.53970336914062
2021-05-06,113.68731689453125
2021-05-07,114.47154235839844
2021-05-10,114.61918640136719
2021-05-11,113.38285064697266
2021-05-12,112.31258392333984
2021-05-13,113.32748413085938
2021-05-14,113.89952087402344
2021-05-17,113.68731689453125
2021-05-18,113.72423553466797
2021-05-19,113.53046417236328
2021-05-20,114.72067260742188
2021-05-21,114.73912048339844
2021-05-24,114.849853515625
2021-05-25,114.50847625732422
2021-05-26,113.84417724609375
2021-05-27,113.59505462646484
2021-05-28,114.03791809082031
2021-06-01,112.16497802734375
2021-06-02,111.94351959228516
2021-06-03,112.28491973876953
2021-06-04,112.64474487304688
2021-06-07,113.05069732666016
2021-06-08,112.70010375976562
2021-06-09,113.78880310058594
2021-06-10,115.73556518554688
2021-06-11,114.9144287109375
2021-06-14,115.01592254638672
2021-06-15,115.05281829833984
2021-06-16,114.60994720458984
2021-06-17,115.4864501953125
2021-06-18,114.16709899902344
2021-06-21,115.53883361816406
2021-06-22,115.78893280029297
2021-06-23,115.30728912353516
2021-06-24,115.90008544921875
2021-06-25,116.42803955078125
2021-06-28,116.60401153564453
2021-06-29,116.73368072509766
2021-06-30,116.65958404541016
2021-07-01,117.69696044921875
2021-07-02,118.82698059082031
2021-07-06,118.71585083007812
2021-07-07,119.46609497070312
2021-07-08,118.80847930908203
2021-07-09,119.21603393554688
2021-07-12,119.44757843017578
2021-07-13,119.33642578125
2021-07-14,119.22528076171875
2021-07-15,118.80847930908203
2021-07-16,119.13263702392578
2021-07-19,117.88224029541016
2021-07-20,119.3178939819336
2021-07-21,119.51240539550781
2021-07-22,120.392333984375
2021-07-23,121.78166961669922
2021-07-26,120.99436950683594
2021-07-27,121.55941009521484
2021-07-28,121.9947280883789
2021-07-29,122.29113006591797
2021-07-30,122.40227508544922
2021-08-02,122.5689926147461
2021-08-03,124.27324676513672
2021-08-04,123.74531555175781
2021-08-05,123.23587799072266
2021-08-06,123.13400268554688
2021-08-09,123.60637664794922
2021-08-10,123.31922912597656
2021-08-11,122.09662628173828
2021-08-12,123.05992126464844
2021-08-13,123.82865905761719
2021-08-16,125.23654174804688
2021-08-17,126.71855163574219
2021-08-18,124.79195404052734
2021-08-19,125.35696411132812
2021-08-20,126.07015991210938
2021-08-23,126.11647033691406
2021-08-24,125.67186737060547
2021-08-25,125.32917022705078
2021-08-26,124.83824157714844
2021-08-27,124.6993637084961
2021-08-30,125.40328216552734
2021-08-31,125.23654174804688
2021-09-01,125.27361297607422
2021-09-02,126.61664581298828
2021-09-03,126.75556182861328
2021-09-07,126.01458740234375
2021-09-08,125.95903015136719
2021-09-09,124.50481414794922
2021-09-10,123.36553955078125
2021-09-13,122.60603332519531
2021-09-14,122.58753204345703
2021-09-15,123.3840560913086
2021-09-16,123.06914520263672
2021-09-17,123.18954467773438
2021-09-20,121.90406799316406
2021-09-21,122.08997344970703
2021-09-22,122.2944564819336
2021-09-23,123.177490234375
2021-09-24,122.67554473876953
2021-09-27,120.92810821533203
2021-09-28,118.85530090332031
2021-09-29,119.79409790039062
2021-09-30,118.32549285888672
2021-10-01,118.35336303710938
2021-10-04,116.55015563964844
2021-10-05,117.24726104736328
2021-10-06,117.03349304199219
2021-10-07,118.58573913574219
2021-10-08,117.99089050292969
2021-10-11,117.07064819335938
2021-10-12,116.50364685058594
2021-10-13,116.68955993652344
2021-10-14,118.3626480102539
2021-10-15,118.9482421875
2021-10-18,118.13957977294922
2021-10-19,119.69185638427734
2021-10-20,121.40213012695312
2021-10-21,121.89476013183594
2021-10-22,122.38739013671875
2021-10-25,122.53614044189453
2021-10-26,123.14028930664062
2021-10-27,122.16429901123047
2021-10-28,123.1867904663086
2021-10-29,124.38581848144531
2021-11-01,124.23710632324219
2021-11-02,125.01790618896484
2021-11-03,125.752197265625
2021-11-04,124.88775634765625
2021-11-05,123.49352264404297
2021-11-08,124.22779846191406
2021-11-09,123.77238464355469
2021-11-10,124.1255874633789
2021-11-11,123.76306915283203
2021-11-12,124.37655639648438
2021-11-15,123.60504150390625
2021-11-16,124.1255874633789
2021-11-17,124.30218505859375
2021-11-18,124.3486328125
2021-11-19,123.59577178955078
2021-11-22,123.03805541992188
2021-11-23,123.16817474365234
2021-11-24,123.12171936035156
2021-11-26,122.66627502441406
2021-11-29,123.00086975097656
2021-11-30,120.58417510986328
2021-12-01,120.37039947509766
2021-12-02,120.9559555053711
2021-12-03,121.17903900146484
2021-12-06,121.86690521240234
2021-12-07,123.437744140625
2021-12-08,124.36724853515625
2021-12-09,124.65541076660156
2021-12-10,125.09223175048828
2021-12-13,126.27271270751953
2021-12-14,125.76148986816406
2021-12-15,128.33621215820312
2021-12-16,129.09840393066406
2021-12-17,128.19679260253906
2021-12-20,127.42047119140625
2021-12-21,127.95232391357422
2021-12-22,129.44522094726562
2021-12-23,129.97708129882812
2021-12-27,131.3487091064453
2021-12-28,131.00344848632812
2021-12-29,131.7499237060547
2021-12-30,132.0205078125
2021-12-31,131.46067810058594
2022-01-03,130.10775756835938
2022-01-04,128.39089965820312
2022-01-05,127.47642517089844
2022-01-06,126.00218963623047
2022-01-07,125.35834503173828
2022-01-10,126.6459732055664
2022-01-11,127.65372467041016
2022-01-12,127.2898178100586
2022-01-13,125.3117446899414
2022-01-14,125.09711456298828
2022-01-18,123.34295654296875
2022-01-19,122.83907318115234
2022-01-20,122.03662109375
2022-01-21,120.80498504638672
2022-01-24,120.40375518798828
2022-01-25,119.62931823730469
2022-01-26,119.004150390625
2022-01-27,119.31206512451172
2022-01-28,121.74738311767578
2022-01-31,122.44718170166016
2022-02-01,122.77375793457031
2022-02-02,124.42532348632812
2022-02-03,123.89344024658203
2022-02-04,123.44556427001953
2022-02-07,123.23097229003906
2022-02-08,124.23868560791016
2022-02-09,125.19976043701172
2022-02-10,123.24029541015625
2022-02-11,121.53277587890625
2022-02-14,120.29177856445312
2022-02-15,121.64472961425781
2022-02-16,121.83135986328125
2022-02-17,119.87190246582031
2022-02-18,118.97616577148438
2022-02-22,118.67757415771484
2022-02-23,118.08042907714844
2022-02-24,118.55626678466797
2022-02-25,122.18592071533203
2022-02-28,121.2621841430664
2022-03-01,120.59037780761719
2022-03-02,122.40985870361328
2022-03-03,123.03500366210938
2022-03-04,123.65086364746094
2022-03-07,121.49545288085938
2022-03-08,119.01347351074219
2022-03-09,121.2621841430664
2022-03-10,121.21553802490234
2022-03-11,120.31046295166016
2022-03-14,121.15958404541016
2022-03-15,123.5761947631836
2022-03-16,125.05979919433594
2022-03-17,127.03788757324219
2022-03-18,127.82170867919922
2022-03-21,127.72433471679688
2022-03-22,127.75238800048828
2022-03-23,125.45924377441406
2022-03-24,126.95681762695312
2022-03-25,127.54651641845703
2022-03-28,128.47311401367188
2022-03-29,129.2312774658203
2022-03-30,129.48399353027344
2022-03-31,128.22042846679688
2022-04-01,129.2312774658203
2022-04-04,128.1549072265625
2022-04-05,128.42636108398438
2022-04-06,130.3825225830078
2022-04-07,132.89096069335938
2022-04-08,133.68658447265625
2022-04-11,131.02838134765625
2022-04-12,129.7554168701172
2022-04-13,130.3918914794922
2022-04-14,129.76478576660156
2022-04-18,128.3327178955078
2022-04-19,129.558837890625
2022-04-20,131.29978942871094
2022-04-21,129.84902954101562
2022-04-22,125.11294555664062
