Date,VWO
2021-04-19,44.88685989379883
2021-04-20,44.54597473144531
2021-04-21,44.895381927490234
2021-04-22,44.81867599487305
2021-04-23,45.432289123535156
2021-04-26,45.491947174072266
2021-04-27,45.56011962890625
2021-04-28,45.92657470703125
2021-04-29,45.824317932128906
2021-04-30,45.15104293823242
2021-05-03,45.134002685546875
2021-05-04,44.58005905151367
2021-05-05,44.75051498413086
2021-05-06,45.19366455078125
2021-05-07,45.59421157836914
2021-05-10,44.74198913574219
2021-05-11,44.62267303466797
2021-05-12,43.48067855834961
2021-05-13,43.4295539855957
2021-05-14,44.14542007446289
2021-05-17,44.17099380493164
2021-05-18,44.81016540527344
2021-05-19,44.69084930419922
2021-05-20,44.85277557373047
2021-05-21,44.375526428222656
2021-05-24,44.793121337890625
2021-05-25,45.2618408203125
2021-05-26,45.59421157836914
2021-05-27,45.67942810058594
2021-05-28,45.918067932128906
2021-06-01,46.88107681274414
2021-06-02,46.99187088012695
2021-06-03,46.46348190307617
2021-06-04,46.88107681274414
2021-06-07,46.6935920715332
2021-06-08,46.49757385253906
2021-06-09,46.46348190307617
2021-06-10,46.78733444213867
2021-06-11,46.582794189453125
2021-06-14,46.77029037475586
2021-06-15,46.454959869384766
2021-06-16,45.824317932128906
2021-06-17,46.088504791259766
2021-06-18,45.730567932128906
2021-06-21,45.95331573486328
2021-06-22,45.75626754760742
2021-06-23,46.0218505859375
2021-06-24,46.36452865600586
2021-06-25,46.74147033691406
2021-06-28,46.852848052978516
2021-06-29,46.818572998046875
2021-06-30,46.52729415893555
2021-07-01,46.27885437011719
2021-07-02,46.22745132446289
2021-07-06,45.39645767211914
2021-07-07,45.43928527832031
2021-07-08,44.57402038574219
2021-07-09,45.38787841796875
2021-07-12,45.4135856628418
2021-07-13,45.43928527832031
2021-07-14,45.66203308105469
2021-07-15,45.70486068725586
2021-07-16,45.39645767211914
2021-07-19,44.728233337402344
2021-07-20,44.76249694824219
2021-07-21,45.14801788330078
2021-07-22,45.21654510498047
2021-07-23,44.51405334472656
2021-07-26,43.665924072265625
2021-07-27,42.72355651855469
2021-07-28,43.93149948120117
2021-07-29,44.085716247558594
2021-07-30,43.785858154296875
2021-08-02,44.137115478515625
2021-08-03,44.248477935791016
2021-08-04,44.35984802246094
2021-08-05,44.222782135009766
2021-08-06,43.92293930053711
2021-08-09,44.07714080810547
2021-08-10,44.23991012573242
2021-08-11,44.402687072753906
2021-08-12,44.11140823364258
