,DGRO
2021-06-22,101.77669938959303
2021-06-23,99.86771251151171
2021-06-24,102.60227363568926
2021-06-25,103.20592740010521
2021-06-28,102.37300977202513
2021-06-29,102.96531481755278
2021-06-30,102.43240397892994
2021-07-01,102.83031208448034
2021-07-02,102.46776035855905
2021-07-05,103.57137214127698
2021-07-06,102.9459685317065
2021-07-07,103.35980316573374
2021-07-08,103.1377263963912
2021-07-09,102.84956970133545
2021-07-12,100.66532831202375
2021-07-13,99.36493336794263
2021-07-14,99.00989578762275
2021-07-15,99.83325489071349
2021-07-16,99.36238484164322
2021-07-19,98.4691855368498
2021-07-20,99.70416083888826
2021-07-21,99.3155948197802
2021-07-22,98.28283568368771
2021-07-23,97.5896481866574
2021-07-26,97.84558123811131
2021-07-27,96.95613474522966
2021-07-28,95.56661269760784
2021-07-29,94.93585495936124
2021-07-30,94.66443123898858
2021-08-02,93.94324903933439
2021-08-03,92.76472935269919
2021-08-04,92.27716992315523
2021-08-05,92.3910731074858
2021-08-06,92.68889062999165
2021-08-09,91.39298509370867
2021-08-10,91.15156390618327
2021-08-11,91.41452162828227
2021-08-12,92.26961633577679
2021-08-13,93.46242898668707
2021-08-16,93.52639475122034
2021-08-17,94.08978553731109
2021-08-18,94.98707811365
2021-08-19,94.46082846286062
2021-08-20,93.480058748976
2021-08-23,93.22884560168386
2021-08-24,94.67136820127804
2021-08-25,95.99662265885986
2021-08-26,96.59358191120005
2021-08-27,95.4073565430671
2021-08-30,95.81547910970237
2021-08-31,95.34413121613349
2021-09-01,96.34206615768164
2021-09-02,96.74329430643361
2021-09-03,97.09846140449706
2021-09-06,96.78869891340759
2021-09-07,96.66420729282295
2021-09-08,96.42831663998349
2021-09-09,95.6896095092201
2021-09-10,94.66133478239584
2021-09-13,95.16299667663854
2021-09-14,94.49844946854735
2021-09-15,93.15153783102325
2021-09-16,92.3768406990597
2021-09-17,92.13646030637452
2021-09-20,92.35917917328807
2021-09-21,91.27211865230332
2021-09-22,92.51586118813964
2021-09-23,91.84262874504287
2021-09-24,91.14783404653333
2021-09-27,91.38431291339097
2021-09-28,91.81549013122844
2021-09-29,92.43045455227993
2021-09-30,91.84210586648815
2021-10-01,91.8988175523812
2021-10-04,92.91965698240347
2021-10-05,93.59109199622358
2021-10-06,91.94838491730428
2021-10-07,92.56805981136924
2021-10-08,93.18521106762994
2021-10-11,91.6276222035889
2021-10-12,91.36430468633414
2021-10-13,91.86451688748976
2021-10-14,92.65188552177777
2021-10-15,92.35130616122794
2021-10-18,93.65994938369076
2021-10-19,94.72880035217712
2021-10-20,92.03088972200054
2021-10-21,92.04765779356043
2021-10-22,89.95009654524569
2021-10-25,89.98061712993271
2021-10-26,90.98620981621536
2021-10-27,91.11873818790613
2021-10-28,91.73296665772797
2021-10-29,92.25329576161386
2021-11-01,93.06711796100721
2021-11-02,92.30317809202168
2021-11-03,92.50321616130582
2021-11-04,93.71090471312712
2021-11-05,94.20343256852412
2021-11-08,93.23276749960982
2021-11-09,93.2735460938758
2021-11-10,92.84282727062859
