,IVW
2021-06-22,99.04581017236502
2021-06-23,99.49502405798543
2021-06-24,99.76046624478398
2021-06-25,101.31075474438155
2021-06-28,100.31821329647201
2021-06-29,98.8161783142396
2021-06-30,97.63898819777071
2021-07-01,98.1978405695657
2021-07-02,96.90716505090906
2021-07-05,95.42218299230878
2021-07-06,95.4703205986189
2021-07-07,95.77728133078011
2021-07-08,94.3963402927771
2021-07-09,93.883817386117
2021-07-12,93.51896086390158
2021-07-13,92.43811705680716
2021-07-14,89.23463143870902
2021-07-15,90.60689162898058
2021-07-16,92.01829561599745
2021-07-19,93.26292918273204
2021-07-20,93.45480742309871
2021-07-21,93.84784964206462
2021-07-22,95.30021500840262
2021-07-23,93.94020197485878
2021-07-26,95.14295073441092
2021-07-27,94.68277322760163
2021-07-28,94.82426826921606
2021-07-29,96.8420862382889
2021-07-30,97.08764122425735
2021-08-02,96.72154274544991
2021-08-03,98.05334824582296
2021-08-04,96.15450892558029
2021-08-05,96.75153056169911
2021-08-06,94.40474089273086
2021-08-09,93.21744021096562
2021-08-10,92.98529205433724
2021-08-11,92.07707936485163
2021-08-12,91.88332317527687
2021-08-13,91.67677207069895
2021-08-16,92.25569438730736
2021-08-17,94.56489545263805
2021-08-18,93.70988346420414
2021-08-19,93.61339716669245
2021-08-20,91.5278763175351
2021-08-23,93.29176678816896
2021-08-24,93.20803592303263
2021-08-25,92.6164637343339
2021-08-26,94.09241262157288
2021-08-27,92.12628703879551
2021-08-30,92.96936668011746
2021-08-31,92.21168837723975
2021-09-01,92.83495513008204
2021-09-02,94.57004777365529
2021-09-03,93.98352265512828
2021-09-06,92.90738280619115
2021-09-07,92.00746697602794
2021-09-08,91.5296866337372
2021-09-09,91.64366682153833
2021-09-10,90.84839844126927
2021-09-13,89.11118912839642
2021-09-14,91.4297254270145
2021-09-15,92.22917298114362
2021-09-16,92.73330873334345
2021-09-17,95.07926197510548
2021-09-20,96.08360482664379
2021-09-21,93.44226746402795
2021-09-22,92.83502857309325
2021-09-23,93.9577968489601
2021-09-24,95.98631501829806
2021-09-27,97.47240521395541
2021-09-28,97.46642346760909
2021-09-29,99.20955783886197
2021-09-30,100.18024357120593
2021-10-01,99.80981246910562
2021-10-04,99.87059349611083
2021-10-05,99.44591775637363
2021-10-06,97.34470697801866
2021-10-07,98.27294414829254
2021-10-08,98.11223167207197
2021-10-11,96.19152416086789
2021-10-12,96.78288267437021
2021-10-13,96.59872834731821
2021-10-14,97.81226566723915
2021-10-15,97.02810972771864
2021-10-18,98.81737495212266
2021-10-19,99.04312808181065
2021-10-20,98.04625090598608
2021-10-21,100.29980906115163
2021-10-22,99.63841741066575
2021-10-25,100.27200464939405
2021-10-26,100.19873364958882
2021-10-27,98.93285118689217
2021-10-28,99.22094467001499
2021-10-29,98.37684062495559
2021-11-01,97.86175630863416
2021-11-02,98.40739502207703
2021-11-03,97.87094193075706
2021-11-04,96.40773123718053
2021-11-05,97.11648037869861
2021-11-08,96.58858040646741
2021-11-09,96.23890645313149
2021-11-10,96.5148809970707
2021-11-11,96.38161853958485
2021-11-12,96.3679919544289
2021-11-15,94.58288237174344
2021-11-16,94.58858454953766
2021-11-17,96.3348801343455
2021-11-18,96.62572562086191
2021-11-19,95.74211711053671
2021-11-22,97.53335661035693
2021-11-23,98.0056122811992
2021-11-24,98.11398083536635
2021-11-25,95.98023275218182
2021-11-26,94.51419427325966
2021-11-29,95.86672445616223
2021-11-30,96.78809200307832
2021-12-01,97.01082665570188
2021-12-02,95.53895230428529
2021-12-03,93.94710088414297
2021-12-06,94.0597227668608
2021-12-07,92.92583940207086
2021-12-08,91.33330004469202
2021-12-09,92.76812344060671
2021-12-10,91.18933016323932
2021-12-13,92.80342035350647
2021-12-14,94.09292186804583
2021-12-15,93.91405391884666
2021-12-16,95.97157654654485
2021-12-17,96.38509570784962
2021-12-20,96.75194933770003
2021-12-21,96.77334269075168
2021-12-22,96.11422181518358
2021-12-23,95.65818430949676
2021-12-24,98.00470184313097
2021-12-27,98.38628586428425
2021-12-28,97.20801218091988
2021-12-29,98.44098754648535
2021-12-30,98.5195741213992
2021-12-31,99.90203137955301
2022-01-03,101.18762911348513
2022-01-04,101.24861674948671
2022-01-05,100.1540639349571
2022-01-06,101.06913305974786
2022-01-07,99.75313768296833
2022-01-10,100.17123610809584
