Date,IDEV
2021-04-19,57.76827621459961
2021-04-20,56.75750732421875
2021-04-21,57.297157287597656
2021-04-22,57.14297103881836
2021-04-23,57.6826171875
2021-04-26,57.81967544555664
2021-04-27,57.64835739135742
2021-04-28,57.853939056396484
2021-04-29,57.845367431640625
2021-04-30,56.99734878540039
2021-05-03,57.69974899291992
2021-05-04,56.8859977722168
2021-05-05,57.64835739135742
2021-05-06,58.05094909667969
2021-05-07,58.727657318115234
2021-05-10,58.42784881591797
2021-05-11,57.7340202331543
2021-05-12,56.808902740478516
2021-05-13,57.18579864501953
2021-05-14,58.119483947753906
2021-05-17,58.0338249206543
2021-05-18,58.213706970214844
2021-05-19,57.6826171875
2021-05-20,58.49638366699219
2021-05-21,58.51350784301758
2021-05-24,58.87327575683594
2021-05-25,58.87327575683594
2021-05-26,58.864715576171875
2021-05-27,59.01033020019531
2021-05-28,59.12167739868164
2021-06-01,59.387237548828125
2021-06-02,59.575679779052734
2021-06-03,59.25873947143555
2021-06-04,59.78982162475586
2021-06-07,59.95257568359375
2021-06-08,59.901187896728516
2021-06-09,59.74699020385742
2021-06-10,59.92573165893555
2021-06-11,60.04718780517578
2021-06-14,60.14262390136719
2021-06-15,60.15998077392578
2021-06-16,59.7608757019043
2021-06-17,59.24030685424805
2021-06-18,58.12977981567383
2021-06-21,58.91062927246094
2021-06-22,58.98870086669922
2021-06-23,58.65033721923828
2021-06-24,59.17957305908203
2021-06-25,59.32707214355469
2021-06-28,58.936641693115234
2021-06-29,58.945335388183594
2021-06-30,58.52019119262695
2021-07-01,58.667686462402344
2021-07-02,58.89326858520508
2021-07-06,58.546234130859375
2021-07-07,58.8065071105957
2021-07-08,58.01699447631836
2021-07-09,59.066795349121094
2021-07-12,59.25767135620117
2021-07-13,58.945335388183594
2021-07-14,59.0581169128418
2021-07-15,58.494171142578125
2021-07-16,57.99964141845703
2021-07-19,56.897769927978516
2021-07-20,57.40098190307617
2021-07-21,58.32065963745117
2021-07-22,58.37269973754883
2021-07-23,58.78048324584961
2021-07-26,58.86724853515625
2021-07-27,58.65901565551758
2021-07-28,58.92797088623047
2021-07-29,59.353111267089844
2021-07-30,59.03208541870117
2021-08-02,59.26633834838867
2021-08-03,59.674129486083984
2021-08-04,59.46590042114258
2021-08-05,59.7608757019043
2021-08-06,59.53529739379883
2021-08-09,59.491920471191406
2021-08-10,59.656768798828125
2021-08-11,60.073219299316406
2021-08-12,59.9691047668457
2021-08-13,60.28144836425781
2021-08-16,59.9777717590332
2021-08-17,59.37045669555664
2021-08-18,59.214290618896484
2021-08-19,58.572265625
2021-08-20,58.76312255859375
2021-08-23,59.379127502441406
2021-08-24,59.648094177246094
2021-08-25,59.70014190673828
2021-08-26,59.32707214355469
2021-08-27,59.90837860107422
2021-08-30,59.951751708984375
2021-08-31,59.89970779418945
2021-09-01,60.39423751831055
2021-09-02,60.732601165771484
2021-09-03,60.99288558959961
2021-09-07,60.95818328857422
2021-09-08,60.463645935058594
2021-09-09,60.42026138305664
2021-09-10,60.342185974121094
2021-09-13,60.732601165771484
2021-09-14,60.4463005065918
2021-09-15,60.64583969116211
2021-09-16,60.52436828613281
2021-09-17,59.76955032348633
2021-09-20,58.65901565551758
2021-09-21,59.18825149536133
2021-09-22,59.509273529052734
2021-09-23,60.18600845336914
2021-09-24,59.674129486083984
2021-09-27,59.656768798828125
2021-09-28,58.29462814331055
2021-09-29,58.12977981567383
2021-09-30,57.97360610961914
2021-10-01,58.14712905883789
2021-10-04,57.591854095458984
2021-10-05,57.97360610961914
2021-10-06,57.60053253173828
2021-10-07,58.07337951660156
2021-10-08,58.069053649902344
2021-10-11,57.878170013427734
2021-10-12,57.94757843017578
2021-10-13,58.554893493652344
2021-10-14,59.17957305908203
2021-10-15,59.656768798828125
2021-10-18,59.43986511230469
2021-10-19,59.83028793334961
2021-10-20,60.05587387084961
2021-10-21,59.76955032348633
2021-10-22,60.05587387084961
2021-10-25,60.012481689453125
2021-10-26,60.064544677734375
2021-10-27,59.76955032348633
2021-10-28,60.39423751831055
2021-10-29,60.038509368896484
2021-11-01,60.576419830322266
2021-11-02,60.37253952026367
2021-11-03,60.83671951293945
2021-11-04,60.828033447265625
2021-11-05,60.98421096801758
2021-11-08,61.01891326904297
2021-11-09,60.88877487182617
2021-11-10,60.125282287597656
