,VDE
2021-06-22,99.24582706886983
2021-06-23,101.6719844408365
2021-06-24,106.32618120031798
2021-06-25,103.5163940677243
2021-06-28,102.80996688686712
2021-06-29,101.89228957216214
2021-06-30,101.79930011679757
2021-07-01,98.31278993480863
2021-07-02,98.16302583385699
2021-07-05,98.38417184959911
2021-07-06,97.52981638764909
2021-07-07,95.61076686385685
2021-07-08,96.10716247948787
2021-07-09,95.97658662114361
2021-07-12,95.47444726465962
2021-07-13,98.73543697701706
2021-07-14,100.9620038846581
2021-07-15,100.14742320536045
2021-07-16,102.36784022308932
2021-07-19,102.71593594789049
2021-07-20,102.6181594828013
2021-07-21,99.07591354499847
2021-07-22,100.88391969396733
2021-07-23,100.3628754607429
2021-07-26,102.77716750359683
2021-07-27,102.04290175080655
2021-07-28,101.49385922340342
2021-07-29,99.08660998137334
2021-07-30,100.90414201808278
2021-08-02,102.43076725312363
2021-08-03,105.09018233463034
2021-08-04,106.97419834380884
2021-08-05,107.9049415275462
2021-08-06,109.10471393327559
2021-08-09,107.88628244890499
2021-08-10,107.5693622560743
2021-08-11,106.61392134024919
2021-08-12,107.79725220632415
2021-08-13,106.56886970770019
2021-08-16,106.1476251823733
2021-08-17,101.86113805324845
2021-08-18,99.92749875326689
2021-08-19,99.4734506311668
2021-08-20,98.73676810082486
2021-08-23,100.98394211233435
2021-08-24,100.1073426627263
2021-08-25,100.39438919627597
2021-08-26,101.89945077098011
2021-08-27,102.85275745128519
2021-08-30,102.80511354401224
2021-08-31,103.26282733742875
2021-09-01,101.79834498221301
2021-09-02,102.50725416354165
2021-09-03,104.7119515192926
2021-09-06,105.199401471358
2021-09-07,105.600355308836
2021-09-08,104.58846529384438
2021-09-09,103.57757006933868
2021-09-10,105.50098916368917
2021-09-13,105.79829183760316
2021-09-14,106.64786733366105
2021-09-15,107.44370467484497
2021-09-16,107.77204904631557
2021-09-17,109.01849097993217
2021-09-20,108.99315857098561
2021-09-21,107.84167208161908
2021-09-22,106.28121698691497
2021-09-23,105.56011521854207
2021-09-24,104.08776573346363
2021-09-27,105.83859553262396
2021-09-28,105.42194402348967
2021-09-29,102.92213279222962
2021-09-30,102.96606248247872
2021-10-01,102.44468238417738
2021-10-04,103.2481788741117
2021-10-05,102.78261319001751
2021-10-06,102.89768562689605
