,VYM
2021-06-22,99.55401852431056
2021-06-23,100.78631639972102
2021-06-24,99.42141331370735
2021-06-25,97.89172816485805
2021-06-28,98.31542185745135
2021-06-29,99.64999291579367
2021-06-30,100.10940501993213
2021-07-01,100.46964614341111
2021-07-02,100.50067629478518
2021-07-05,100.89424237078062
2021-07-06,98.29299706673206
2021-07-07,98.96729706757334
2021-07-08,100.01097070654477
2021-07-09,99.47877628334365
2021-07-12,98.86887795099656
2021-07-13,97.61296895205355
2021-07-14,96.95960818152456
2021-07-15,97.43374608424031
2021-07-16,97.22100177198104
2021-07-19,98.13517141986554
2021-07-20,98.98904061488926
2021-07-21,97.80705598091161
2021-07-22,100.07509055873179
2021-07-23,99.52239919768184
2021-07-26,99.6148206432342
2021-07-27,98.78524804041655
2021-07-28,99.72458485173887
2021-07-29,99.95726307053808
2021-07-30,99.69175764100306
2021-08-02,100.80852892678394
2021-08-03,101.14069892205735
2021-08-04,102.35329611168353
2021-08-05,102.24023427812567
2021-08-06,102.35767818256014
2021-08-09,101.05189481877966
2021-08-10,104.22664562789762
2021-08-11,104.58030123415216
2021-08-12,105.92783871823006
2021-08-13,104.56446747002042
2021-08-16,105.50142598906938
2021-08-17,104.99867033138675
2021-08-18,105.42476829682937
2021-08-19,105.09865955326256
2021-08-20,105.3895777479266
2021-08-23,105.3544526635113
2021-08-24,105.01352230152965
2021-08-25,105.62091070665551
2021-08-26,105.18179781096846
2021-08-27,104.49747098327695
2021-08-30,105.85243736643044
2021-08-31,107.47128804597207
2021-09-01,106.90124297848342
2021-09-02,105.03634294301733
2021-09-03,104.84761031320988
2021-09-06,104.91994089013832
2021-09-07,104.53719882535577
2021-09-08,104.38906347485148
2021-09-09,104.01236592878973
2021-09-10,102.89210590436082
2021-09-13,101.94380988577281
2021-09-14,101.64683577302097
2021-09-15,102.12829312701861
2021-09-16,101.70908944242333
2021-09-17,100.07408108137665
2021-09-20,99.22018952996416
2021-09-21,98.22746867828872
2021-09-22,97.12261380060929
2021-09-23,97.75946443628746
2021-09-24,98.18641238222531
2021-09-27,99.17448292121381
2021-09-28,100.32313348650979
2021-09-29,98.62313109635897
2021-09-30,98.64224848440148
2021-10-01,98.19664509625791
2021-10-04,97.37950339587495
2021-10-05,96.91758798771575
2021-10-06,97.76959497234999
2021-10-07,97.65192406492179
2021-10-08,96.65855700408808
2021-10-11,98.16760426425691
2021-10-12,98.21216668444721
2021-10-13,97.14990266842952
2021-10-14,97.64804399168118
2021-10-15,98.87867721427443
2021-10-18,100.47948049112756
2021-10-19,100.20505110516015
2021-10-20,100.48530415630952
2021-10-21,100.37625183625885
2021-10-22,99.23446965594187
2021-10-25,98.76430300152931
2021-10-26,98.01020201035337
2021-10-27,97.41540373572235
2021-10-28,96.60983990188613
2021-10-29,97.79557398798534
2021-11-01,98.17987764740018
2021-11-02,99.34363729100004
2021-11-03,99.48266964090912
2021-11-04,99.04939101252516
2021-11-05,98.3460717298479
2021-11-08,97.30157293634085
2021-11-09,98.05950825324781
2021-11-10,96.87360222304407
2021-11-11,98.06066554370217
2021-11-12,97.24626457450572
2021-11-15,96.43567605872114
2021-11-16,94.98542219603088
2021-11-17,95.36747494726305
2021-11-18,95.54261110672677
2021-11-19,95.06904535501938
2021-11-22,94.13197461877154
2021-11-23,94.98689099053583
2021-11-24,93.94679615572366
2021-11-25,93.19928213934834
2021-11-26,93.36970387788116
2021-11-29,94.17013611003851
2021-11-30,95.03977766925289
2021-12-01,97.38860737350856
2021-12-02,96.82136770769424
2021-12-03,95.94308090059667
2021-12-06,95.47848710161355
2021-12-07,94.45795222725171
2021-12-08,93.7260458078434
2021-12-09,93.83777632073426
2021-12-10,94.65570091124687
2021-12-13,94.01450508066219
2021-12-14,93.51788427539316
2021-12-15,95.00441527639407
2021-12-16,93.37243643556202
2021-12-17,92.92790905327918
2021-12-20,93.14373110752618
2021-12-21,94.84348116285597
2021-12-22,94.76068527977579
2021-12-23,93.57240338024374
2021-12-24,95.24022743785349
2021-12-27,94.47008333113577
2021-12-28,94.44380828682547
2021-12-29,94.05502732420376
2021-12-30,94.70062506713185
2021-12-31,96.68600767416483
2022-01-03,96.43543215151365
2022-01-04,96.35241401300948
2022-01-05,96.47551834778353
2022-01-06,95.86429133849302
2022-01-07,95.57317664568225
2022-01-10,94.97773211313606
2022-01-11,95.20721320502462
2022-01-12,95.12254370295923
2022-01-13,94.98054513965086
2022-01-14,95.21916946100187
2022-01-17,95.75559280600412
2022-01-18,97.68309847811715
2022-01-19,98.16315220847974
2022-01-20,99.1085894424449
2022-01-21,99.49683338011312
2022-01-24,100.26333460317136
2022-01-25,100.0732935374858
2022-01-26,101.6519734799532
2022-01-27,102.2506475165347
2022-01-28,102.83403965114985
2022-01-31,102.96217071526455
2022-02-01,102.64182973529634
2022-02-02,103.5533930300699
2022-02-03,104.25179152388637
2022-02-04,105.95753540069359
2022-02-07,106.0964219565161
2022-02-08,104.50553926033488
2022-02-09,103.66932075739935
2022-02-10,103.34439338906387
2022-02-11,104.03014855806025
2022-02-14,103.91055524878642
2022-02-15,103.34340205415158
2022-02-16,103.17406707938686
2022-02-17,103.74497214124251
2022-02-18,103.577115452234
2022-02-21,103.93366837590976
2022-02-22,104.25506609476152
2022-02-23,104.19598625598351
2022-02-24,104.75112272908677
2022-02-25,104.23568602446147
2022-02-28,104.00733437776859
2022-03-01,103.6382221297531
2022-03-02,103.30699627190971
2022-03-03,103.10409921758404
2022-03-04,104.04625284304849
2022-03-07,104.2382391129516
2022-03-08,104.55975329656604
2022-03-09,104.73116222806502
2022-03-10,104.81699609833402
2022-03-11,105.28310982447671
2022-03-14,105.98777778062743
2022-03-15,104.55575117293424
2022-03-16,105.48204554651744
2022-03-17,105.74750378570845
2022-03-18,105.18347792517034
2022-03-21,105.99433132849163
2022-03-22,107.86101041703849
2022-03-23,109.45316214563634
2022-03-24,109.22678659060455
2022-03-25,108.79589413542928
2022-03-28,108.62086918795704
2022-03-29,108.601659204412
2022-03-30,108.78045640465888
2022-03-31,109.52057982658421
2022-04-01,108.5267399342351
2022-04-04,107.98195609247476
2022-04-05,106.97302155415649
2022-04-06,108.62684616131094
2022-04-07,108.27522309943298
2022-04-08,108.7127574098762
2022-04-11,108.90602569098182
2022-04-12,108.89754771208064
2022-04-13,109.58473051886686
2022-04-14,109.37459320981513
2022-04-15,107.84756204340684
2022-04-18,109.63038288919176
2022-04-19,110.50795304509936
2022-04-20,111.29008864967125
2022-04-21,113.02196809137972
2022-04-22,113.74657934293357
2022-04-25,113.44654300486295
2022-04-26,114.2592242612934
2022-04-27,112.91745917548621
2022-04-28,114.7896125462251
2022-04-29,115.18752974771861
2022-05-02,115.58787913648396
2022-05-03,116.10191377168637
2022-05-04,116.49048269365193
2022-05-05,116.64837594377293
2022-05-06,115.7410218113817
2022-05-09,115.91874517581577
2022-05-10,115.51226848210028
2022-05-11,115.75166035904788
2022-05-12,114.8494415794235
2022-05-13,114.48976145294192
2022-05-16,114.6538696287846
2022-05-17,112.85785972814281
2022-05-18,113.00180520920232
2022-05-19,111.91354065822581
2022-05-20,112.27049759521024
2022-05-23,113.13663065261115
2022-05-24,112.93919070754332
2022-05-25,111.92222101325213
2022-05-26,113.52883948958512
2022-05-27,112.5313807128898
2022-05-30,112.82981188819568
2022-05-31,113.21356896977122
2022-06-01,112.11540265901058
2022-06-02,110.92237744292322
2022-06-03,111.39893804255439
2022-06-06,109.32191886907603
2022-06-07,110.59645086969547
2022-06-08,110.9120425478338
2022-06-09,111.84821673078582
2022-06-10,109.49043135775614
2022-06-13,109.8953358642392
2022-06-14,110.36250060041364
2022-06-15,111.36858082343389
2022-06-16,111.17499411414961
2022-06-17,109.75647493076887
2022-06-20,110.46667746887687
2022-06-21,111.17457748322393
2022-06-22,110.43780498908306
2022-06-23,108.27746276716523
2022-06-24,107.64633176403613
2022-06-27,107.67448136473136
2022-06-28,107.97904696834253
2022-06-29,106.67818272009677
2022-06-30,106.22268050642163
2022-07-01,108.6691165486738
2022-07-04,108.94917601904739
2022-07-05,108.75499164150358
2022-07-06,107.236708992328
2022-07-07,105.58915300710983
2022-07-08,106.78194399732605
2022-07-11,107.62206766430158
2022-07-12,106.97379213456286
2022-07-13,108.50460571009823
2022-07-14,109.10197359103238
2022-07-15,105.94917422689186
2022-07-18,107.43824021695825
2022-07-19,107.13759878342898
2022-07-20,106.68092042726151
