,IAU
2021-06-22,99.98134812302736
2021-06-23,99.83677355096776
2021-06-24,98.77465900764908
2021-06-25,98.93585494675901
2021-06-28,99.4072257096393
2021-06-29,99.28910213383399
2021-06-30,99.58991651617251
2021-07-01,99.17564951768813
2021-07-02,99.80724405909372
2021-07-05,99.37309114886119
2021-07-06,100.11319387017114
2021-07-07,100.33867099024114
2021-07-08,100.53095891250814
2021-07-09,100.07988723881792
2021-07-12,98.82004005616683
2021-07-13,99.16593521853544
2021-07-14,99.44274789389446
2021-07-15,99.69840253976054
2021-07-16,99.04584482676438
2021-07-19,99.8008620004753
2021-07-20,99.02855181012805
2021-07-21,98.07497061936651
2021-07-22,97.27525947607863
2021-07-23,95.80195089157203
2021-07-26,94.27133366062712
2021-07-27,95.59439730891478
2021-07-28,95.28170824215478
2021-07-29,95.39692030148112
2021-07-30,95.88885161152093
2021-08-02,94.17361822335405
2021-08-03,94.0374125553439
2021-08-04,95.73009677363133
2021-08-05,94.04058765975614
2021-08-06,94.72377110739185
2021-08-09,94.7056729040315
2021-08-10,94.21615872174621
2021-08-11,94.75307361614188
2021-08-12,95.21960544790849
2021-08-13,95.19718119378805
2021-08-16,95.82796960535322
2021-08-17,96.36717999997164
2021-08-18,96.03690710535744
2021-08-19,96.13576582379307
2021-08-20,96.20986322112925
2021-08-23,96.11941300207103
2021-08-24,97.13143334439735
2021-08-25,96.9821570352941
2021-08-26,96.58230482494437
2021-08-27,96.9325801551119
2021-08-30,96.34657521949781
2021-08-31,96.76698838343249
2021-09-01,97.20268664606321
2021-09-02,98.15482437534074
2021-09-03,97.0094762010861
2021-09-06,95.87178905264673
2021-09-07,93.77882142130774
2021-09-08,92.8469629160785
2021-09-09,92.00568338140906
2021-09-10,89.51259033246123
2021-09-13,89.71741660466768
2021-09-14,89.64311196284571
2021-09-15,90.11850561946876
2021-09-16,90.48012638474626
2021-09-17,90.63282667978876
2021-09-20,91.48850110220778
2021-09-21,90.44878788410827
2021-09-22,89.73787693663658
2021-09-23,88.5222023603334
2021-09-24,87.43688254634068
2021-09-27,86.19993056221156
2021-09-28,87.5687659153461
2021-09-29,87.63393381473634
2021-09-30,88.11198466329557
2021-10-01,88.6877853531911
2021-10-04,89.0447826601795
2021-10-05,88.46808699083603
2021-10-06,89.19103866719759
2021-10-07,90.17020864466961
2021-10-08,90.4486322535725
2021-10-11,90.26795303750323
2021-10-12,90.45313228023856
2021-10-13,91.3970928712334
2021-10-14,91.07679011528059
2021-10-15,92.12438566596617
2021-10-18,91.22408043632396
2021-10-19,90.73359435535467
2021-10-20,89.78376582094603
2021-10-21,90.31387283216571
2021-10-22,88.83608556649175
2021-10-25,89.1254267340702
2021-10-26,90.11802968299524
2021-10-27,90.24987582740053
2021-10-28,89.80700498527229
2021-10-29,89.98735388604477
2021-11-01,89.4922575667507
2021-11-02,89.2195469573921
2021-11-03,91.35244616270089
2021-11-04,90.62074867684301
2021-11-05,89.95727151467409
2021-11-08,90.1389099808467
2021-11-09,91.18609137749142
2021-11-10,90.53995176931929
2021-11-11,91.61465616585106
2021-11-12,93.39614571350381
2021-11-15,93.4126783230124
2021-11-16,93.85524667910481
2021-11-17,94.85697179828217
2021-11-18,93.88093157118011
2021-11-19,95.16240577775281
2021-11-22,95.89599232046402
2021-11-23,95.43914857464007
2021-11-24,95.38108101481176
2021-11-25,95.72269018353194
2021-11-26,94.75681081756335
2021-11-29,94.69094093516134
2021-11-30,93.46738736688638
2021-12-01,94.20963674132649
2021-12-02,94.18535097808902
2021-12-03,94.1691048478251
2021-12-06,94.13910508366519
2021-12-07,95.32968493449458
2021-12-08,95.36977942162227
2021-12-09,96.90897658756516
2021-12-10,97.56374380423547
2021-12-13,99.6123836511104
2021-12-14,99.54895929811659
2021-12-15,99.11101073238669
2021-12-16,99.70928710868608
2021-12-17,100.68146207712303
2021-12-20,101.01444834327802
2021-12-21,100.50165193588683
2021-12-22,101.47269709837592
2021-12-23,101.46578638180503
2021-12-24,101.31652842565757
2021-12-27,102.349237034236
2021-12-28,102.05687319739279
2021-12-29,102.4902108240046
2021-12-30,103.51534448140964
2021-12-31,103.24134957677803
2022-01-03,103.44060329574248
2022-01-04,102.72824173330271
2022-01-05,102.22647304174698
2022-01-06,103.63512980361733
2022-01-07,104.81699885819754
2022-01-10,105.44353456733897
2022-01-11,104.89771290100995
2022-01-12,104.77839962853388
2022-01-13,104.76568116607132
2022-01-14,104.59505084160305
2022-01-17,105.45173245265596
2022-01-18,106.06390271951244
2022-01-19,106.42375550015801
2022-01-20,107.02619623971871
2022-01-21,106.41908725235515
2022-01-24,105.07228396041943
2022-01-25,104.9270716755139
2022-01-26,105.98435548100451
2022-01-27,105.63003453279424
2022-01-28,105.77479533977161
2022-01-31,104.73464944995972
2022-02-01,104.36125472494521
2022-02-02,105.82051064179532
2022-02-03,106.69154961505167
2022-02-04,107.61240686022751
2022-02-07,106.64801292840241
2022-02-08,106.96676408504746
2022-02-09,108.3159927473317
2022-02-10,107.90916505555307
2022-02-11,109.72528995894054
2022-02-14,109.41793386111547
2022-02-15,110.15427042661055
2022-02-16,108.07632600779257
2022-02-17,107.62721194717433
2022-02-18,107.70201999541614
2022-02-21,106.65405540535254
2022-02-22,106.89941067714312
2022-02-23,108.27575310824157
2022-02-24,108.94021499076831
2022-02-25,108.12896705401324
2022-02-28,108.5277925188768
2022-03-01,108.8191771172476
2022-03-02,109.64343580591705
2022-03-03,110.30571228146471
2022-03-04,111.26541674051784
2022-03-07,111.18793303279952
2022-03-08,109.99985701974097
2022-03-09,110.23370994390906
2022-03-10,108.60135933469368
2022-03-11,108.91451449363032
2022-03-14,108.312113651883
2022-03-15,109.93266375910731
2022-03-16,111.5592803013794
2022-03-17,112.3736796310562
2022-03-18,111.28513095708668
2022-03-21,109.18990208197275
2022-03-22,108.63759698513826
2022-03-23,109.60000040641948
2022-03-24,109.20892445836681
2022-03-25,107.76807311087764
2022-03-28,108.56135875711175
2022-03-29,108.59433785464776
2022-03-30,110.64531768090995
2022-03-31,110.56168264816597
2022-04-01,111.79379727646239
2022-04-04,111.7927021978923
2022-04-05,111.39334483043245
2022-04-06,111.22591611553554
2022-04-07,110.96289502219648
2022-04-08,111.89475253280123
2022-04-11,113.49846850169867
2022-04-12,113.60705098794558
2022-04-13,113.08104479384617
2022-04-14,114.40764239187953
2022-04-15,114.53206481579166
2022-04-18,116.23802606035787
2022-04-19,116.27355893163669
2022-04-20,116.25620545611612
2022-04-21,117.61818850584748
2022-04-22,118.29182276531228
2022-04-25,119.58097038013615
2022-04-26,118.97703006133644
2022-04-27,120.46611708116251
2022-04-28,119.71459240860614
2022-04-29,119.92108376163995
2022-05-02,120.99967478530658
2022-05-03,122.77123914007579
2022-05-04,122.40992787743608
2022-05-05,122.26726134467643
2022-05-06,123.08869205635146
2022-05-09,124.77779885237199
2022-05-10,124.65458051196504
2022-05-11,124.29452769234837
2022-05-12,122.62597836419742
2022-05-13,121.69148854715486
2022-05-16,121.96598813456177
2022-05-17,121.4376635585444
2022-05-18,124.45014969270194
2022-05-19,125.74743307381513
2022-05-20,127.06192176727117
2022-05-23,125.50605579577324
2022-05-24,126.00546395730004
2022-05-25,126.35063220571516
2022-05-26,126.19252343797376
2022-05-27,125.71381562886673
2022-05-30,126.33871005334127
2022-05-31,126.44947776704352
2022-06-01,127.27380020633102
2022-06-02,126.05637033489143
2022-06-03,125.2587771749899
2022-06-06,125.52593865481177
2022-06-07,126.1042394374359
2022-06-08,126.58719101477634
2022-06-09,126.60396535742034
2022-06-10,125.78844468630865
2022-06-13,127.55002650147316
2022-06-14,126.16727491772322
2022-06-15,127.5473102518968
2022-06-16,125.69135460224092
2022-06-17,125.36362635312996
2022-06-20,126.1578882648698
2022-06-21,122.94539341186577
2022-06-22,125.28747025706024
2022-06-23,126.84565958210779
2022-06-24,125.7152169334854
2022-06-27,127.54878888779888
2022-06-28,126.58690013265502
2022-06-29,125.09791042921263
2022-06-30,124.17397661027782
2022-07-01,123.05568430966423
2022-07-04,122.06198175134566
2022-07-05,122.90250818887169
2022-07-06,122.00112964007377
2022-07-07,123.35396868599675
2022-07-08,124.19362384743535
2022-07-11,124.5449951937311
2022-07-12,124.02991359556977
2022-07-13,125.23790644118895
2022-07-14,126.64165214441634
2022-07-15,126.92602498112807
2022-07-18,127.63514959870417
2022-07-19,128.79264496635784
2022-07-20,129.70513938368728
2022-07-21,128.55179391052184
2022-07-22,127.59678375589152
2022-07-25,126.71588573124986
2022-07-26,125.98720666045513
2022-07-27,126.02318088111137
2022-07-28,125.18023020722198
2022-07-29,125.79455046271039
2022-08-01,125.80271536662464
2022-08-02,128.52586149093497
2022-08-03,127.36382343747886
2022-08-04,127.65649251738415
2022-08-05,128.71627975008366
2022-08-08,127.67242102758374
2022-08-09,128.31422092053955
2022-08-10,128.99881067483952
2022-08-11,127.09039151016842
2022-08-12,128.15955271811657
2022-08-15,129.14239662938544
2022-08-16,130.42993166010288
2022-08-17,129.7587734632266
2022-08-18,130.94111643306107
