,MUB
2021-06-22,99.63029979981974
2021-06-23,99.37003878339803
2021-06-24,99.18365737156785
2021-06-25,98.61582012807652
2021-06-28,99.43188300373549
2021-06-29,100.17073206251348
2021-06-30,100.06660146303096
2021-07-01,100.18751596807208
2021-07-02,100.2404114533549
2021-07-05,100.61922306236342
2021-07-06,100.5334458486468
2021-07-07,101.01328732097818
2021-07-08,101.37022841568448
2021-07-09,101.96967520383275
2021-07-12,102.36837139860388
2021-07-13,101.75229781840058
2021-07-14,101.1591217631953
2021-07-15,100.89236145996377
2021-07-16,101.0442461246281
2021-07-19,100.94308780989762
2021-07-20,101.0577401512675
2021-07-21,101.0051915539687
2021-07-22,100.97312743977389
2021-07-23,101.0456927528755
2021-07-26,100.48659388467496
2021-07-27,100.87665045722306
2021-07-28,101.06314952746615
2021-07-29,100.84199558547739
2021-07-30,100.43113416025365
2021-08-02,99.95216710990456
2021-08-03,99.70751343200624
2021-08-04,99.72208468010786
2021-08-05,99.26776831007139
2021-08-06,98.87528582433494
2021-08-09,98.73777498863608
2021-08-10,98.84564512039923
2021-08-11,98.56913261792886
2021-08-12,98.56838630027887
2021-08-13,98.36451409702953
2021-08-16,98.3129722664133
2021-08-17,97.77614919297343
2021-08-18,97.3977881720171
2021-08-19,97.31854439231446
2021-08-20,97.9882813510901
2021-08-23,98.30159725371092
2021-08-24,98.04771682697461
2021-08-25,97.79473138197832
2021-08-26,97.86351595393519
2021-08-27,98.40350603668576
2021-08-30,98.1529228245052
2021-08-31,98.01153375452549
2021-09-01,97.734692784956
2021-09-02,97.3777547637111
2021-09-03,97.1541939617408
2021-09-06,97.44129966680178
2021-09-07,97.5633294209411
2021-09-08,97.99557199311138
2021-09-09,97.72065533320767
2021-09-10,97.82219610691443
2021-09-13,97.8632949197597
2021-09-14,97.43067635085426
2021-09-15,97.77107282749729
2021-09-16,97.96083992710449
2021-09-17,98.13218508020711
2021-09-20,98.7744173615792
2021-09-21,98.40728400226631
2021-09-22,97.96795032984372
2021-09-23,98.11312142252152
2021-09-24,98.24809672476363
2021-09-27,98.31847408135529
2021-09-28,98.57853554744372
2021-09-29,98.57590020492118
2021-09-30,98.36050245911231
2021-10-01,98.13357567751427
2021-10-04,98.28009617305939
2021-10-05,98.35055833761717
2021-10-06,98.4988389899526
2021-10-07,98.31019064447226
2021-10-08,97.66164526374683
2021-10-11,98.16135907641515
2021-10-12,97.59553257250182
2021-10-13,97.65411045234394
2021-10-14,97.29954876351015
2021-10-15,97.27041480778284
2021-10-18,97.05768450166828
2021-10-19,97.03020274879938
2021-10-20,96.51503981023457
2021-10-21,96.52510540946288
2021-10-22,96.56106340541642
2021-10-25,96.57711341680954
2021-10-26,96.50116871469749
2021-10-27,96.41956699642904
2021-10-28,96.39207244595329
2021-10-29,96.34154959930244
2021-11-01,96.39852505104054
2021-11-02,96.57243927712265
2021-11-03,97.00120737728176
2021-11-04,96.91152250006593
2021-11-05,96.90340358815523
2021-11-08,97.47258023160641
2021-11-09,97.45645177940328
2021-11-10,97.01899260271544
2021-11-11,96.84421838576814
2021-11-12,96.93573398644598
2021-11-15,97.30263142442969
2021-11-16,97.23504291004065
2021-11-17,97.13943930617019
2021-11-18,97.12299201913616
2021-11-19,97.38678633847127
2021-11-22,97.45906956567526
2021-11-23,97.48944514905152
2021-11-24,97.4674634580081
2021-11-25,97.57892729468647
2021-11-26,97.31929147736881
2021-11-29,97.65334602164556
2021-11-30,97.78326457133493
2021-12-01,97.47923635125036
2021-12-02,97.47679235463765
2021-12-03,97.55272018456806
2021-12-06,96.80464325994407
2021-12-07,96.56242356238653
2021-12-08,96.91280562979048
2021-12-09,96.8895634546694
2021-12-10,96.83307370313214
2021-12-13,96.83867432981293
2021-12-14,96.92492092664041
2021-12-15,96.63654916728827
2021-12-16,96.69309844222467
2021-12-17,96.96171712691051
2021-12-20,97.26068535259158
2021-12-21,97.11001843998001
2021-12-22,97.22297455501023
2021-12-23,96.95805656804593
2021-12-24,97.06422730145304
2021-12-27,97.18083359518897
2021-12-28,96.96407884513535
2021-12-29,96.89983631519473
2021-12-30,97.35633658142476
2021-12-31,98.01079599939186
2022-01-03,98.50124142957472
2022-01-04,98.54339023404228
2022-01-05,98.3911787123096
2022-01-06,98.13982798276065
2022-01-07,97.73702463416957
2022-01-10,97.943734948404
2022-01-11,98.62576424957209
2022-01-12,98.806872686613
2022-01-13,98.43844639153816
2022-01-14,98.60492650376199
2022-01-17,98.54583338011956
2022-01-18,98.33357845475643
2022-01-19,98.69397483318393
2022-01-20,99.23652822755352
2022-01-21,99.55651226320711
2022-01-24,99.56624684684856
2022-01-25,99.48479498230816
2022-01-26,99.44710034812528
2022-01-27,99.10422198564618
2022-01-28,99.13305063651943
2022-01-31,98.89708753775952
2022-02-01,98.99858977479603
2022-02-02,99.22492577650533
2022-02-03,99.13429322997162
2022-02-04,99.27288713502055
2022-02-07,99.32150906239904
2022-02-08,98.90527604509421
2022-02-09,98.65348275796379
2022-02-10,98.67833245125209
2022-02-11,98.58888869968656
2022-02-14,99.1078865001947
2022-02-15,99.02290741682481
2022-02-16,98.87235761766227
2022-02-17,99.37146230280108
2022-02-18,99.15116719049473
2022-02-21,98.9652518220548
2022-02-22,98.7799288648859
2022-02-23,98.43389320423769
2022-02-24,98.71001677530184
2022-02-25,98.73854713857318
2022-02-28,98.9791295059707
2022-03-01,98.73009486092644
2022-03-02,99.17150821083511
2022-03-03,99.33266398428935
2022-03-04,99.51523475314313
2022-03-07,98.9095568285669
2022-03-08,98.69888545002921
2022-03-09,99.00823288235719
2022-03-10,99.08570997070328
2022-03-11,98.79374389224203
2022-03-14,98.609709915358
2022-03-15,98.9688832269975
2022-03-16,98.87204363648347
2022-03-17,98.70170465336827
2022-03-18,98.626342657534
2022-03-21,98.95593349121113
2022-03-22,98.63123934855018
2022-03-23,98.62195250964089
2022-03-24,98.50242446089662
2022-03-25,98.58917855111517
2022-03-28,98.90809113835351
2022-03-29,98.60925101363341
2022-03-30,98.7748300200641
2022-03-31,98.49704392583988
2022-04-01,98.32115499324046
2022-04-04,98.33500526963061
2022-04-05,98.4042882370605
2022-04-06,98.69289480636796
2022-04-07,98.9393008064352
2022-04-08,98.20987789807006
2022-04-11,98.16511616059768
2022-04-12,98.08704540634221
2022-04-13,97.95858160013523
2022-04-14,98.11367862924641
2022-04-15,97.89274520678369
2022-04-18,98.16560154970858
2022-04-19,97.56493222094586
2022-04-20,97.48207611828614
2022-04-21,97.77810670059067
2022-04-22,97.98206290344528
2022-04-25,97.70470028255161
2022-04-26,97.33693014733976
2022-04-27,97.26972900811369
2022-04-28,97.20256301899546
2022-04-29,97.13108679068185
2022-05-02,97.33415735334493
2022-05-03,97.70384082495686
2022-05-04,97.91812135923482
2022-05-05,98.04201293832423
2022-05-06,98.35849989489189
2022-05-09,98.59696675232547
2022-05-10,98.34472600401692
2022-05-11,98.72222576726514
2022-05-12,98.9037770214669
2022-05-13,98.9326339883696
2022-05-16,98.8318076278465
2022-05-17,99.13654755182837
2022-05-18,99.3574747829137
2022-05-19,100.06051514911138
2022-05-20,100.56346191383814
2022-05-23,100.57945292071851
2022-05-24,100.43418615361158
2022-05-25,100.20054226384687
2022-05-26,100.44614448739657
2022-05-27,100.69699714926988
2022-05-30,101.0147809731248
2022-05-31,101.22895130794906
2022-06-01,101.60124174919088
2022-06-02,101.7874497698088
2022-06-03,101.45838439904415
2022-06-06,101.59995990903539
2022-06-07,101.69244007799443
2022-06-08,101.62484097760378
2022-06-09,101.94782582669855
2022-06-10,101.6152590746619
2022-06-13,101.52529220071062
2022-06-14,101.09622400569475
2022-06-15,100.96201603944796
2022-06-16,100.88053530800336
2022-06-17,100.33820752198714
2022-06-20,100.43232940314569
2022-06-21,100.53932468140616
2022-06-22,100.795147888777
2022-06-23,100.67605603710277
2022-06-24,100.39539992949923
2022-06-27,100.32845106284888
2022-06-28,99.98823582400833
2022-06-29,100.20016542440216
2022-06-30,100.17190265071483
2022-07-01,100.12882487522756
2022-07-04,100.07747942190144
2022-07-05,100.33374169027034
2022-07-06,100.59336640167118
2022-07-07,100.14588468612222
2022-07-08,100.43408552372226
2022-07-11,100.17414469182589
2022-07-12,99.62973558084252
2022-07-13,99.52298423473607
2022-07-14,99.54738504664212
2022-07-15,99.2011916133358
2022-07-18,99.3513608955679
2022-07-19,100.19383896346807
2022-07-20,100.3652579060773
2022-07-21,100.94979401783057
2022-07-22,101.14310154700847
2022-07-25,101.07882725128296
2022-07-26,101.22419150575735
2022-07-27,101.6272385106171
2022-07-28,101.17281649927679
2022-07-29,101.01757599265846
2022-08-01,100.40591212273324
2022-08-02,100.33553718983931
2022-08-03,100.03277000939408
2022-08-04,99.90126604902659
2022-08-05,99.34264616789835
2022-08-08,98.7809725815445
2022-08-09,98.6227635150574
2022-08-10,98.7045729630707
2022-08-11,98.2593772111176
2022-08-12,98.63692383738243
2022-08-15,98.45976507658993
2022-08-16,98.38729025284509
2022-08-17,98.846644755008
2022-08-18,99.42689285706163
2022-08-19,99.42603856586415
2022-08-22,99.55694425093233
2022-08-23,99.79807257797381
2022-08-24,100.11908372287586
2022-08-25,99.57600090037491
2022-08-26,99.96532648013806
2022-08-29,99.48370906464046
2022-08-30,99.75428548881054
2022-08-31,100.48234567507612
2022-09-01,100.71615031255105
2022-09-02,100.44171985184644
2022-09-05,100.40706345581066
2022-09-06,100.8599829872742
2022-09-07,101.20039638951421
2022-09-08,101.89409467587754
2022-09-09,102.2634833867807
2022-09-12,102.18509541584808
2022-09-13,101.99546785935473
2022-09-14,101.88814988705963
2022-09-15,101.55965062438234
2022-09-16,101.66657331528528
2022-09-19,101.98051090466569
2022-09-20,102.07688372190869
2022-09-21,102.67102620451925
2022-09-22,102.56803601789764
2022-09-23,102.3666365355055
2022-09-26,102.40044437349383
2022-09-27,102.11789018171062
2022-09-28,102.55237714537458
2022-09-29,102.92094888486352
2022-09-30,103.02538277781733
2022-10-03,102.96177590421176
2022-10-04,103.59717362537626
2022-10-05,103.17344930327714
2022-10-06,103.85259382642273
2022-10-07,103.59607421810037
2022-10-10,104.09519440488204
2022-10-11,103.49989944803917
2022-10-12,103.95269262645928
2022-10-13,103.43353865039009
2022-10-14,103.59973105512788
2022-10-17,103.82199845702868
2022-10-18,103.55222164313409
2022-10-19,103.41802547703315
2022-10-20,103.23824925203398
2022-10-21,103.22171251225258
2022-10-24,103.59568826353673
2022-10-25,103.85176039357236
2022-10-26,103.27027147297348
2022-10-27,102.54984528690618
2022-10-28,102.0061740726987
2022-10-31,102.68802306242983
2022-11-01,102.57417324654767
2022-11-02,102.30548299846045
2022-11-03,102.59601500762585
2022-11-04,102.27627702097968
2022-11-07,102.12238318676894
2022-11-08,102.18554030584583
2022-11-09,101.79610146934199
2022-11-10,101.61817687016762
2022-11-11,101.75555700830967
2022-11-14,101.82297107674081
2022-11-15,102.10314000514546
2022-11-16,102.50388208377561
2022-11-17,102.20994257053881
2022-11-18,102.18976973627014
2022-11-21,102.83223022794945
2022-11-22,102.98223585965138
2022-11-23,102.93830809395918
2022-11-24,103.23828106967345
2022-11-25,102.9928679641537
2022-11-28,103.12587265837381
2022-11-29,103.38118099016
2022-11-30,103.47664536709233
2022-12-01,103.19754839568225
2022-12-02,103.16161101796224
2022-12-05,103.07666451875133
2022-12-06,103.11631360538023
2022-12-07,103.40364311730652
2022-12-08,103.72070649028464
2022-12-09,103.39937729366963
2022-12-12,103.44855799692174
2022-12-13,103.68077707704136
2022-12-14,103.57986866012104
2022-12-15,103.00385794131152
2022-12-16,103.17612293025668
2022-12-19,103.31255622159628
2022-12-20,103.12151990616564
2022-12-21,103.11959346229493
2022-12-22,103.14647616939408
2022-12-23,103.41185634454891
2022-12-26,102.90013297716698
2022-12-27,102.70294157288595
2022-12-28,102.74200182208992
2022-12-29,102.37280817839238
