Date,VIG
2021-04-19,138.88632202148438
2021-04-20,138.5216827392578
2021-04-21,139.68844604492188
2021-04-22,138.59461975097656
2021-04-23,139.70663452148438
2021-04-26,139.0503692626953
2021-04-27,139.3602752685547
2021-04-28,138.81338500976562
2021-04-29,140.2353515625
2021-04-30,139.46963500976562
2021-05-03,140.5178985595703
2021-05-04,140.7184295654297
2021-05-05,140.8278045654297
2021-05-06,142.03099060058594
2021-05-07,142.79666137695312
2021-05-10,142.5687713623047
2021-05-11,140.99183654785156
2021-05-12,137.98391723632812
2021-05-13,140.33560180664062
2021-05-14,141.6846466064453
2021-05-17,141.04656982421875
2021-05-18,140.0621337890625
2021-05-19,139.7157440185547
2021-05-20,140.7184295654297
2021-05-21,140.90074157714844
2021-05-24,141.5843505859375
2021-05-25,141.38381958007812
2021-05-26,141.42941284179688
2021-05-27,141.65725708007812
2021-05-28,141.92161560058594
2021-06-01,141.23797607421875
2021-06-02,141.44766235351562
2021-06-03,141.3929443359375
2021-06-04,142.17681884765625
2021-06-07,141.56613159179688
2021-06-08,141.3018035888672
2021-06-09,140.8642578125
2021-06-10,141.25621032714844
2021-06-11,141.5205535888672
2021-06-14,141.29266357421875
2021-06-15,141.11949157714844
2021-06-16,139.90719604492188
2021-06-17,139.44232177734375
2021-06-18,137.12710571289062
2021-06-21,139.41156005859375
2021-06-22,139.9059600830078
2021-06-23,139.24673461914062
2021-06-24,140.14405822753906
2021-06-25,141.27943420410156
2021-06-28,141.21534729003906
2021-06-29,141.38009643554688
2021-06-30,141.72808837890625
2021-07-01,142.5155029296875
2021-07-02,143.4951934814453
2021-07-06,142.87254333496094
2021-07-07,143.94381713867188
2021-07-08,142.68031311035156
2021-07-09,144.22769165039062
2021-07-12,144.5664520263672
2021-07-13,144.12693786621094
2021-07-14,144.4291229248047
2021-07-15,144.54815673828125
2021-07-16,144.00791931152344
2021-07-19,141.94784545898438
2021-07-20,143.7515411376953
2021-07-21,144.71295166015625
2021-07-22,144.61221313476562
2021-07-23,145.9581756591797
2021-07-26,145.9215545654297
2021-07-27,145.78424072265625
2021-07-28,145.17991638183594
2021-07-29,146.26040649414062
2021-07-30,146.24205017089844
2021-08-02,145.83914184570312
2021-08-03,147.0019989013672
2021-08-04,146.02230834960938
2021-08-05,146.62660217285156
2021-08-06,147.04776000976562
2021-08-09,146.6724090576172
2021-08-10,147.23092651367188
2021-08-11,148.0183563232422
2021-08-12,148.0183563232422
2021-08-13,148.4395294189453
2021-08-16,149.39175415039062
2021-08-17,148.52195739746094
2021-08-18,146.91958618164062
2021-08-19,147.3590850830078
2021-08-20,148.3754425048828
2021-08-23,148.65011596679688
2021-08-24,148.3479461669922
2021-08-25,148.5677032470703
2021-08-26,147.84437561035156
2021-08-27,148.65927124023438
2021-08-30,148.94308471679688
2021-08-31,148.68675231933594
2021-09-01,148.75997924804688
2021-09-02,149.3276824951172
2021-09-03,149.12625122070312
2021-09-07,147.60630798339844
2021-09-08,148.00918579101562
2021-09-09,147.29502868652344
2021-09-10,146.6632080078125
2021-09-13,146.89212036132812
2021-09-14,145.71095275878906
2021-09-15,146.6632080078125
2021-09-16,146.31529235839844
2021-09-17,145.04257202148438
2021-09-20,143.11123657226562
2021-09-21,142.93649291992188
2021-09-22,143.911376953125
2021-09-23,145.36444091796875
2021-09-24,145.54843139648438
2021-09-27,145.2357177734375
2021-09-28,142.90890502929688
2021-09-29,143.37796020507812
2021-09-30,141.2627410888672
2021-10-01,142.6605987548828
2021-10-04,141.39146423339844
2021-10-05,142.79855346679688
2021-10-06,143.56190490722656
2021-10-07,144.88624572753906
2021-10-08,144.61949157714844
2021-10-11,143.6630859375
2021-10-12,143.35960388183594
2021-10-13,143.77345275878906
2021-10-14,146.33932495117188
2021-10-15,147.4521484375
2021-10-18,147.33258056640625
2021-10-19,148.6017303466797
2021-10-20,149.43865966796875
2021-10-21,149.9444580078125
2021-10-22,150.79974365234375
2021-10-25,151.22283935546875
2021-10-26,151.27801513671875
2021-10-27,149.83412170410156
2021-10-28,150.80899047851562
2021-10-29,151.05728149414062
2021-11-01,151.05728149414062
2021-11-02,151.94017028808594
2021-11-03,152.48280334472656
2021-11-04,152.9794158935547
2021-11-05,153.76112365722656
2021-11-08,153.8255157470703
2021-11-09,153.81634521484375
2021-11-10,153.2737274169922
2021-11-11,153.11734008789062
2021-11-12,154.07386779785156
2021-11-15,154.03704833984375
2021-11-16,154.82794189453125
2021-11-17,154.17498779296875
2021-11-18,154.0922393798828
2021-11-19,153.64158630371094
2021-11-22,153.65997314453125
2021-11-23,154.1934051513672
2021-11-24,154.14739990234375
2021-11-26,151.02053833007812
2021-11-29,152.40921020507812
2021-11-30,148.97882080078125
2021-12-01,148.1695098876953
2021-12-02,150.69857788085938
2021-12-03,150.63424682617188
2021-12-06,152.66677856445312
2021-12-07,154.53367614746094
2021-12-08,154.34974670410156
2021-12-09,154.0094757080078
2021-12-10,156.0051727294922
2021-12-13,155.5821075439453
2021-12-14,154.70838928222656
2021-12-15,156.46499633789062
2021-12-16,156.21669006347656
2021-12-17,153.8255157470703
2021-12-20,152.19288635253906
2021-12-21,153.98536682128906
2021-12-22,155.14031982421875
2021-12-23,155.99032592773438
2021-12-27,158.02304077148438
2021-12-28,158.4110870361328
2021-12-29,159.00242614746094
