,VTV
2021-06-22,100.09416928878503
2021-06-23,101.18435549449313
2021-06-24,101.51493366355871
2021-06-25,99.68165968691606
2021-06-28,99.44667126681558
2021-06-29,98.62053696003498
2021-06-30,97.60227158968857
2021-07-01,97.50752388056203
2021-07-02,95.61986289513277
2021-07-05,96.12769083598691
2021-07-06,94.92950542259155
2021-07-07,92.60532266947286
2021-07-08,93.8941317081
2021-07-09,92.6037265734889
2021-07-12,91.33976201140928
2021-07-13,91.24069778381532
2021-07-14,91.55139900185797
2021-07-15,91.25557897456262
2021-07-16,91.21795209632256
2021-07-19,92.34307845845647
2021-07-20,91.20439732362561
2021-07-21,90.97742848046376
2021-07-22,91.40721969331793
2021-07-23,91.61203057145815
2021-07-26,91.15014259112183
2021-07-27,90.3487800533021
2021-07-28,90.92039712963744
2021-07-29,91.27225665902075
2021-07-30,90.68990179837539
2021-08-02,90.62199152393316
2021-08-03,90.32536038902907
2021-08-04,90.4230794104162
2021-08-05,89.85685236663056
2021-08-06,91.02928453354622
2021-08-09,90.64311846730128
2021-08-10,90.35207854688227
2021-08-11,91.55639290750088
2021-08-12,91.4111592860432
2021-08-13,92.57919806301204
2021-08-16,92.42692181777156
2021-08-17,93.8488533086412
2021-08-18,93.32597650648434
2021-08-19,93.30967004719629
2021-08-20,93.08839746872279
2021-08-23,92.49060237225414
2021-08-24,92.0833696307709
2021-08-25,92.54516412574361
2021-08-26,90.92128936937635
2021-08-27,89.19210739407251
2021-08-30,90.98850008377119
2021-08-31,90.13052795484829
2021-09-01,88.7279357755561
2021-09-02,88.20628674880324
2021-09-03,89.48699227519373
2021-09-06,89.70495026660375
2021-09-07,88.98715449696451
2021-09-08,89.5514480739672
2021-09-09,88.65486413692675
2021-09-10,88.46304180705586
2021-09-13,89.48024866258025
2021-09-14,89.01630427848323
2021-09-15,89.31026495660753
2021-09-16,90.0642616247729
2021-09-17,88.7607809320479
2021-09-20,89.77850316309767
2021-09-21,89.09275581414623
2021-09-22,87.88016503499078
2021-09-23,87.51625935874732
2021-09-24,87.34553181486045
2021-09-27,86.83388437267548
2021-09-28,85.48790658802831
2021-09-29,86.65632626805436
2021-09-30,87.72749232255673
2021-10-01,88.08167913791628
2021-10-04,87.81627519158293
2021-10-05,87.94486875608827
2021-10-06,87.84583742479754
2021-10-07,87.15627472308886
2021-10-08,88.10979726593688
2021-10-11,88.22862980237616
2021-10-12,87.57358567664416
2021-10-13,86.76679560017476
2021-10-14,87.88643473844412
2021-10-15,87.72917507064125
2021-10-18,87.37386652243336
2021-10-19,86.44472499787327
2021-10-20,85.87351340390813
2021-10-21,84.877903303397
2021-10-22,84.49804850956787
2021-10-25,84.1325642797259
2021-10-26,84.30745762588566
2021-10-27,84.58274570683028
2021-10-28,84.36417256994258
2021-10-29,85.12721092475996
2021-11-01,82.897065454599
2021-11-02,82.51940330285464
2021-11-03,82.33717245716133
2021-11-04,83.38584903206709
2021-11-05,82.5996003634793
2021-11-08,84.00786220693213
2021-11-09,84.3746127495535
2021-11-10,83.26045699613547
2021-11-11,83.78302216200001
2021-11-12,83.42478340035481
2021-11-15,82.76105105724389
2021-11-16,83.81810426043643
2021-11-17,84.42202137098406
2021-11-18,84.35104256650978
2021-11-19,83.50926505649511
2021-11-22,82.66408053689297
2021-11-23,82.45551486974482
2021-11-24,81.94582260115378
2021-11-25,80.97455248697581
2021-11-26,80.46190329357785
2021-11-29,79.79971371521394
2021-11-30,80.26412495119773
2021-12-01,80.6413626332971
2021-12-02,81.46267320609998
2021-12-03,80.93493204062574
2021-12-06,80.7598877449623
2021-12-07,80.08091938128177
2021-12-08,79.22663776499955
2021-12-09,79.35222212114607
2021-12-10,79.85018735621729
2021-12-13,78.93077119332187
2021-12-14,78.91364403644512
2021-12-15,78.76919857910077
2021-12-16,78.1452015579102
2021-12-17,78.8667247117569
2021-12-20,78.94074184906893
2021-12-21,78.41335583626025
