,GLDM
2021-06-22,101.18334669473018
2021-06-23,99.66798463797882
2021-06-24,101.0257874533695
2021-06-25,100.1776742674947
2021-06-28,101.38003476314685
2021-06-29,102.59530378996293
2021-06-30,104.61684029324869
2021-07-01,104.29818764805967
2021-07-02,104.2965067542268
2021-07-05,103.78021220417224
2021-07-06,104.0846990989697
2021-07-07,102.27422755465827
2021-07-08,101.52456032429052
2021-07-09,101.23315367867258
2021-07-12,102.27518868431854
2021-07-13,101.47543201610854
2021-07-14,100.18510904756641
2021-07-15,101.0053647840014
2021-07-16,101.56856554832633
2021-07-19,100.15423967360906
2021-07-20,98.88302155298318
2021-07-21,97.62947845545604
2021-07-22,98.28982195786293
2021-07-23,97.00231668752278
2021-07-26,97.75355495537151
2021-07-27,97.63666533738208
2021-07-28,98.45416300942126
2021-07-29,96.92441847602052
2021-07-30,97.70392118248917
2021-08-02,97.1740164541896
2021-08-03,95.7982097280055
2021-08-04,96.05395158274561
2021-08-05,97.1437250411396
2021-08-06,97.04321390147615
2021-08-09,98.11598101949724
2021-08-10,97.10399495482655
2021-08-11,97.04971197779923
2021-08-12,97.53381567073234
2021-08-13,97.32766466905125
2021-08-16,97.5082980550819
2021-08-17,95.69616673267726
2021-08-18,96.12598863985896
2021-08-19,95.9599785913389
2021-08-20,95.79266769033113
2021-08-23,94.77949153071414
2021-08-24,94.84856583105073
2021-08-25,95.28547477230126
2021-08-26,96.54224303031003
2021-08-27,95.6558524974133
2021-08-30,95.4000636484227
2021-08-31,96.15973687562851
2021-09-01,96.46095797762378
2021-09-02,96.75366348461255
2021-09-03,95.87262077300743
2021-09-06,95.75921127448782
2021-09-07,96.83827544416962
2021-09-08,96.5849505944306
2021-09-09,96.1409938524927
2021-09-10,95.99742499787861
2021-09-13,96.31354052492776
2021-09-14,95.64894488048363
2021-09-15,96.60678964012702
2021-09-16,98.24813280328502
2021-09-17,98.64627264636157
2021-09-20,99.40812098680432
2021-09-21,99.68381749901968
2021-09-22,100.81550165339725
2021-09-23,100.12005282636905
2021-09-24,100.57377328163308
2021-09-27,100.67410686830965
2021-09-28,99.77294000157868
2021-09-29,100.15364460370017
2021-09-30,101.12425155787955
2021-10-01,101.27374742143765
2021-10-04,102.18741248615382
2021-10-05,101.76861263418549
2021-10-06,103.13679817221603
2021-10-07,102.6248708631015
2021-10-08,101.4661557438804
2021-10-11,99.99800711906698
2021-10-12,100.32350879647439
2021-10-13,101.43420811575356
2021-10-14,103.19600989310771
2021-10-15,103.53183572518168
2021-10-18,102.798538145847
2021-10-19,102.61781202170295
2021-10-20,101.7869417766583
2021-10-21,100.35563304290456
2021-10-22,100.03487070548933
2021-10-25,98.70280275863178
2021-10-26,98.99878810083894
2021-10-27,99.46727636241465
2021-10-28,99.36126001234376
2021-10-29,99.86021517275319
2021-11-01,100.39593090623313
2021-11-02,101.01042822485955
2021-11-03,101.63917013420063
2021-11-04,101.96109503550193
2021-11-05,101.58361134743015
2021-11-08,101.7071187347565
2021-11-09,100.72508000624222
2021-11-10,100.80078381588832
2021-11-11,101.34311943401089
2021-11-12,101.28538088614974
2021-11-15,101.01014406209951
2021-11-16,102.07218790568125
2021-11-17,103.4147049762772
2021-11-18,103.47101829869823
2021-11-19,103.44628894936803
2021-11-22,104.10144553906188
2021-11-23,104.46953881889785
2021-11-24,104.15652587972725
2021-11-25,105.37299203593639
2021-11-26,103.51996624223665
2021-11-29,104.69484523422217
2021-11-30,104.07560632238042
2021-12-01,103.1229873815402
2021-12-02,103.37741762306838
2021-12-03,103.34062662013925
2021-12-06,103.2594053472244
2021-12-07,104.24009815111357
2021-12-08,103.55532047289869
2021-12-09,103.71856241163009
2021-12-10,104.81361316355111
2021-12-13,105.55416603192576
2021-12-14,106.57079066956126
2021-12-15,107.01882019716314
2021-12-16,105.66318545936555
2021-12-17,105.12730789022157
2021-12-20,106.90282412462903
2021-12-21,107.48974148423778
2021-12-22,106.24169347596475
2021-12-23,105.64990356557873
2021-12-24,105.98445706846744
2021-12-27,106.98059460699135
2021-12-28,106.01762429120649
2021-12-29,106.38840599924524
2021-12-30,107.36728602154653
2021-12-31,108.57872932812953
2022-01-03,106.82814577636593
2022-01-04,106.25643437772203
2022-01-05,107.60667699757258
2022-01-06,107.15380258702866
2022-01-07,107.7410096657825
2022-01-10,104.51082554411803
2022-01-11,105.03641737632191
2022-01-12,105.85993083096564
2022-01-13,104.5319894614941
2022-01-14,104.8120476022221
2022-01-17,105.50508430727274
2022-01-18,105.63595776368724
2022-01-19,105.24349743865645
2022-01-20,103.87514953836954
2022-01-21,104.26106000178063
2022-01-24,106.06547306230718
2022-01-25,106.12297930065009
2022-01-26,106.31534372597385
2022-01-27,106.61125142513323
2022-01-28,107.88924530674713
2022-01-31,107.7463183272098
2022-02-01,108.51839188298149
2022-02-02,108.78604855070435
2022-02-03,108.06763075016741
2022-02-04,108.97143895873327
2022-02-07,108.64486843535023
2022-02-08,108.52202900582668
2022-02-09,109.66519595209499
2022-02-10,110.10482379850973
2022-02-11,109.67316552565785
2022-02-14,108.76811198887782
2022-02-15,108.35474728021633
2022-02-16,107.19544993956838
2022-02-17,108.45022409427341
2022-02-18,108.1809417373648
2022-02-21,108.87719996729781
2022-02-22,109.98602859720981
2022-02-23,110.11266231101848
2022-02-24,109.78147055920742
2022-02-25,108.11052960374208
2022-02-28,108.1870418630439
2022-03-01,110.52140059831966
2022-03-02,110.79078992673679
2022-03-03,111.98218511108252
2022-03-04,111.41844939358974
2022-03-07,111.74585440995442
2022-03-08,109.74828771024166
2022-03-09,108.92962519936775
2022-03-10,108.71188439997026
2022-03-11,108.96560996866927
2022-03-14,109.82715104032941
2022-03-15,109.87268833695782
2022-03-16,110.13836014233725
2022-03-17,112.1894018627275
2022-03-18,109.6259594581888
2022-03-21,108.54253296952953
2022-03-22,109.28337364416947
2022-03-23,110.31904477084085
2022-03-24,111.34098501911505
2022-03-25,112.36684345980699
2022-03-28,111.37745039184009
2022-03-29,113.2863527232832
2022-03-30,111.90851211543398
2022-03-31,111.60975241236461
2022-04-01,111.52460220105706
2022-04-04,112.13996034294323
2022-04-05,111.04913014321203
2022-04-06,109.32701704679637
2022-04-07,109.13815376951337
2022-04-08,107.01531657962371
2022-04-11,108.14767441410913
2022-04-12,109.53403188220778
2022-04-13,108.1714021206877
2022-04-14,107.38621077402004
2022-04-15,107.25350976835327
2022-04-18,105.87337317957068
2022-04-19,105.22694619428034
2022-04-20,104.10023819589489
2022-04-21,104.73853322294883
2022-04-22,104.46174501729848
2022-04-25,106.02801835765263
2022-04-26,106.6045337873285
2022-04-27,106.3250088860975
2022-04-28,105.2288180912623
2022-04-29,106.1396084388092
2022-05-02,106.77617696987537
2022-05-03,107.27710975987164
2022-05-04,108.60511293343819
2022-05-05,109.9122709816218
2022-05-06,110.51435720217127
2022-05-09,111.63938575553189
2022-05-10,114.20224491563297
2022-05-11,115.18383487960034
2022-05-12,117.28513592585172
