,^SPX
2021-06-22,99.34440554222344
2021-06-23,100.70522870064332
2021-06-24,99.92347788752073
2021-06-25,99.08020506413857
2021-06-28,98.86001086905344
2021-06-29,99.7674180215495
2021-06-30,99.57209097403714
2021-07-01,100.08570076877943
2021-07-02,98.76383220516611
2021-07-05,98.47056294396944
2021-07-06,98.78013890346338
2021-07-07,98.25111077204775
2021-07-08,98.01038513961828
2021-07-09,97.39264033721979
2021-07-12,96.69880954194139
2021-07-13,96.3607564760767
2021-07-14,95.46406324427257
2021-07-15,96.00661462367444
2021-07-16,96.57978992941665
2021-07-19,96.20241322736575
2021-07-20,95.98408476767719
2021-07-21,94.59377749834051
2021-07-22,94.03588247153881
2021-07-23,94.36536546197557
2021-07-26,92.9967829748319
2021-07-27,93.05215423089722
2021-07-28,93.74241002175981
2021-07-29,93.97471787732303
2021-07-30,94.37187606244424
2021-08-02,94.68922722972924
2021-08-03,94.79629373097875
2021-08-04,96.06307368572858
2021-08-05,95.66596789391207
2021-08-06,95.658298992156
2021-08-09,97.22866296853145
2021-08-10,97.4950601569546
2021-08-11,96.75960590797804
2021-08-12,97.35469053655677
2021-08-13,95.52545313009585
2021-08-16,95.46114856499533
2021-08-17,94.19356056761497
2021-08-18,94.31459975736026
2021-08-19,95.40110555302132
2021-08-20,94.96835472602352
2021-08-23,94.75064735138062
2021-08-24,95.21522712658054
2021-08-25,95.26425205580782
2021-08-26,93.02370484822605
2021-08-27,93.6782989787003
2021-08-30,92.23983682924766
2021-08-31,92.33231718911298
2021-09-01,91.15497881476308
2021-09-02,93.1874994066934
2021-09-03,93.35655826985148
2021-09-06,93.42898548922241
2021-09-07,92.38051889403607
2021-09-08,94.13367443951802
2021-09-09,94.29544626316368
2021-09-10,93.6241723620065
2021-09-13,94.4609020713883
2021-09-14,95.6614400191208
2021-09-15,95.65356703455717
2021-09-16,96.55952126454852
2021-09-17,95.34914280007146
2021-09-20,96.68064432499737
2021-09-21,97.23637498705793
2021-09-22,95.90623216561747
2021-09-23,95.6496702925571
2021-09-24,95.27637258080252
2021-09-27,94.81662934557488
2021-09-28,93.05648811417939
2021-09-29,93.84463818133625
2021-09-30,92.98640087180068
2021-10-01,91.66765628921287
2021-10-04,90.92565537242375
2021-10-05,91.26800082570361
2021-10-06,91.2962458325626
2021-10-07,91.92865912339549
2021-10-08,91.34996461104052
2021-10-11,91.31388452783482
2021-10-12,90.62539332066652
2021-10-13,91.56218775293618
2021-10-14,92.36144237460505
2021-10-15,90.97528157171188
2021-10-18,90.00722741819877
2021-10-19,90.92011001450582
2021-10-20,92.13464824010099
2021-10-21,91.36014456240669
2021-10-22,91.87695968813337
2021-10-25,91.40034093105068
2021-10-26,91.68143619039498
2021-10-27,91.77779443008566
2021-10-28,90.71794579275071
2021-10-29,91.2218259533085
2021-11-01,90.37245090567968
2021-11-02,90.51881302028585
2021-11-03,91.10469361383578
2021-11-04,91.28837631158406
2021-11-05,89.81311889351599
2021-11-08,89.39192238923808
2021-11-09,89.92600093407451
2021-11-10,91.06058357999167
2021-11-11,91.77567957569283
2021-11-12,90.72944834761164
2021-11-15,88.39224051937778
2021-11-16,87.54507341506475
2021-11-17,87.32870916734686
2021-11-18,87.37111416605629
2021-11-19,86.31166452111839
2021-11-22,85.4859264890751
2021-11-23,86.02049457269564
2021-11-24,86.2571806457085
2021-11-25,87.19108461081775
2021-11-26,87.13064282041553
2021-11-29,86.65254296173964
2021-11-30,87.41770849113189
2021-12-01,88.79883619849758
2021-12-02,88.62569232658812
2021-12-03,88.46407876275585
2021-12-06,89.60129076890175
2021-12-07,89.42125509172914
2021-12-08,89.60143305709043
2021-12-09,91.50557328428202
2021-12-10,92.88639760250949
2021-12-13,91.8788386015695
2021-12-14,92.00045607808477
2021-12-15,91.81002336391703
2021-12-16,90.93389278512947
2021-12-17,91.31813190445365
2021-12-20,91.8421106033893
2021-12-21,93.3310296297261
2021-12-22,91.83516350259693
2021-12-23,91.61446836574926
2021-12-24,92.5558133952044
2021-12-27,91.6247663895586
2021-12-28,91.58586915822745
2021-12-29,90.98237941790507
2021-12-30,91.40921737592032
2021-12-31,91.39385316441835
2022-01-03,91.28019013277975
2022-01-04,90.58066867727017
2022-01-05,90.63025549877935
2022-01-06,90.22472307942017
2022-01-07,91.96609774271735
2022-01-10,91.88647946399666
2022-01-11,92.32473473604297
2022-01-12,92.44085756732314
2022-01-13,92.45292286629379
2022-01-14,93.37699312589119
2022-01-17,93.17377740851917
2022-01-18,92.63503747620021
2022-01-19,91.80885806510207
2022-01-20,90.92918293657965
2022-01-21,91.24270422189433
2022-01-24,91.93688507013954
2022-01-25,91.70361444497381
2022-01-26,91.61776449487252
2022-01-27,92.60585299669656
2022-01-28,92.1119748094604
2022-01-31,92.75993104912476
2022-02-01,92.15510053132721
2022-02-02,91.67990838070462
2022-02-03,91.94523340536918
2022-02-04,92.20107391543232
2022-02-07,90.43849939264356
2022-02-08,89.50462212008988
2022-02-09,89.04441534564185
2022-02-10,89.46935412005179
2022-02-11,89.03283239718468
2022-02-14,90.0816191353139
2022-02-15,89.91892429526615
2022-02-16,90.76265792254723
2022-02-17,90.373331046526
2022-02-18,90.16581434003534
2022-02-21,90.23023922811991
2022-02-22,91.22607399053196
2022-02-23,90.06699768441344
2022-02-24,89.88713804573217
2022-02-25,88.68168650315779
2022-02-28,88.41554940436474
2022-03-01,89.07835689673034
2022-03-02,89.27221703656592
2022-03-03,89.41174710532816
2022-03-04,88.41568721305765
2022-03-07,88.46298151117091
2022-03-08,87.42239845498321
2022-03-09,87.3469603350444
2022-03-10,87.08919383889257
2022-03-11,86.90876606863812
2022-03-14,87.52479256434296
2022-03-15,86.61265399733414
2022-03-16,87.39479933444866
2022-03-17,88.15441983312475
2022-03-18,88.35247359202981
2022-03-21,88.03928023233524
2022-03-22,89.67388888145813
2022-03-23,88.8744046544116
2022-03-24,89.13733388311378
2022-03-25,89.4845675703353
2022-03-28,88.91155053120782
2022-03-29,88.552114120682
2022-03-30,88.04863105286093
2022-03-31,86.26204569097477
2022-04-01,85.65319605242576
2022-04-04,86.16968726698272
2022-04-05,87.99635128877394
2022-04-06,89.12648402026791
2022-04-07,88.3140710561234
2022-04-08,87.95204660422145
2022-04-11,87.86816998222895
2022-04-12,87.59769244518573
2022-04-13,88.17510866579222
2022-04-14,87.38765098606964
