Date,TLT
2021-04-19,117.86521911621094
2021-04-20,118.40840148925781
2021-04-21,118.64604949951172
2021-04-22,119.16390228271484
2021-04-23,118.88372039794922
2021-04-26,118.71397399902344
2021-04-27,117.67845916748047
2021-04-28,117.75480651855469
2021-04-29,117.40685272216797
2021-04-30,117.67845916748047
2021-05-03,117.74900817871094
2021-05-04,118.5480728149414
2021-05-05,118.7435302734375
2021-05-06,118.93910217285156
2021-05-07,118.35253143310547
2021-05-10,117.1539535522461
2021-05-11,116.49092864990234
2021-05-12,115.26685333251953
2021-05-13,115.44539642333984
2021-05-14,116.52494812011719
2021-05-17,116.27839660644531
2021-05-18,115.98088073730469
2021-05-19,115.70037841796875
2021-05-20,116.65242767333984
2021-05-21,117.02648162841797
2021-05-24,117.45999908447266
2021-05-25,118.5480728149414
2021-05-26,118.34400177001953
2021-05-27,117.8680419921875
2021-05-28,117.68102264404297
2021-06-01,117.65463256835938
2021-06-02,117.92704772949219
2021-06-03,117.48436737060547
2021-06-04,119.09322357177734
2021-06-07,118.72721099853516
2021-06-08,119.56147003173828
2021-06-09,120.6170654296875
2021-06-10,121.34066009521484
2021-06-11,121.14484405517578
2021-06-14,120.2169189453125
2021-06-15,120.07225799560547
2021-06-16,119.97008514404297
2021-06-17,121.76627349853516
2021-06-18,124.0561752319336
2021-06-21,121.97909545898438
2021-06-22,122.27705383300781
2021-06-23,121.96202850341797
2021-06-24,122.15782165527344
2021-06-25,120.88945770263672
2021-06-28,122.1323013305664
2021-06-29,122.33667755126953
2021-06-30,122.88142395019531
2021-07-01,122.8882827758789
2021-07-02,123.62974548339844
2021-07-06,125.07888793945312
2021-07-07,126.1870346069336
2021-07-08,126.68133544921875
2021-07-09,124.89981079101562
2021-07-12,124.73786926269531
2021-07-13,123.78326416015625
2021-07-14,125.18970489501953
2021-07-15,126.5705795288086
2021-07-16,126.33189392089844
2021-07-19,129.10214233398438
2021-07-20,127.8576889038086
2021-07-21,126.2381362915039
2021-07-22,127.43145751953125
2021-07-23,126.57905578613281
2021-07-26,126.20402526855469
2021-07-27,127.5508041381836
2021-07-28,127.55937194824219
2021-07-29,126.8519058227539
2021-07-30,127.44850158691406
2021-08-02,128.5852813720703
2021-08-03,128.65359497070312
2021-08-04,128.9181365966797
2021-08-05,128.260986328125
2021-08-06,126.11888122558594
