Date,BNDX
2021-04-19,47.46672058105469
2021-04-20,47.54990005493164
2021-04-21,47.59980773925781
2021-04-22,47.608123779296875
2021-04-23,47.55821990966797
2021-04-26,47.54158020019531
2021-04-27,47.475040435791016
2021-04-28,47.483367919921875
2021-04-29,47.35028076171875
2021-04-30,47.383544921875
2021-05-03,47.36606979370117
2021-05-04,47.440982818603516
2021-05-05,47.440982818603516
2021-05-06,47.43266296386719
2021-05-07,47.3743896484375
2021-05-10,47.36606979370117
2021-05-11,47.257869720458984
2021-05-12,47.12470626831055
2021-05-13,47.141353607177734
2021-05-14,47.19961929321289
2021-05-17,47.13302993774414
2021-05-18,47.13302993774414
2021-05-19,47.08308792114258
2021-05-20,47.16631317138672
2021-05-21,47.21626663208008
2021-05-24,47.2412223815918
2021-05-25,47.36606979370117
2021-05-26,47.465938568115234
2021-05-27,47.349430084228516
2021-05-28,47.38270568847656
2021-06-01,47.37522888183594
2021-06-02,47.425201416015625
2021-06-03,47.35023498535156
2021-06-04,47.46684646606445
2021-06-07,47.425201416015625
2021-06-08,47.4918212890625
2021-06-09,47.58344650268555
2021-06-10,47.625083923339844
2021-06-11,47.716712951660156
2021-06-14,47.60844421386719
2021-06-15,47.550140380859375
2021-06-16,47.47517395019531
2021-06-17,47.52513885498047
2021-06-18,47.541805267333984
2021-06-21,47.508480072021484
2021-06-22,47.51680374145508
2021-06-23,47.483497619628906
2021-06-24,47.508480072021484
2021-06-25,47.43351745605469
2021-06-28,47.53348159790039
2021-06-29,47.4918212890625
2021-06-30,47.558448791503906
2021-07-01,47.59346389770508
2021-07-02,47.68516540527344
2021-07-06,47.78519058227539
2021-07-07,47.87687301635742
2021-07-08,47.868526458740234
2021-07-09,47.77684783935547
2021-07-12,47.84352493286133
2021-07-13,47.80185317993164
2021-07-14,47.88520431518555
2021-07-15,47.96855163574219
2021-07-16,48.026893615722656
2021-07-19,48.143577575683594
2021-07-20,48.143577575683594
2021-07-21,48.10190963745117
2021-07-22,48.151920318603516
2021-07-23,48.18526840209961
2021-07-26,48.143577575683594
2021-07-27,48.210262298583984
2021-07-28,48.226932525634766
