,IWF
2021-06-22,99.08474771278635
2021-06-23,97.9327571752475
2021-06-24,97.46798633234721
2021-06-25,98.83363256593795
2021-06-28,97.26870712535816
2021-06-29,98.49378736643585
2021-06-30,96.29746066909593
2021-07-01,97.83452423112155
2021-07-02,97.39937621111294
2021-07-05,98.20898652639937
2021-07-06,98.55319797371136
2021-07-07,98.43111031307586
2021-07-08,99.55905187363683
2021-07-09,102.09839280553035
2021-07-12,100.8004696875997
2021-07-13,102.53393794467891
2021-07-14,101.49990436486307
2021-07-15,102.6671716492267
2021-07-16,102.54424554713115
2021-07-19,101.96511765875029
2021-07-20,101.87507074172382
2021-07-21,103.60519250148046
2021-07-22,104.59576935590779
2021-07-23,103.47733143466607
2021-07-26,104.45518691174176
2021-07-27,102.59911306019949
2021-07-28,103.75966624018378
2021-07-29,101.99555147049146
2021-07-30,101.54820855201025
2021-08-02,100.40445270755181
2021-08-03,99.38105475861036
2021-08-04,99.54074197080392
2021-08-05,99.33937922938735
2021-08-06,100.14886849427683
2021-08-09,99.65109020199222
2021-08-10,99.01424650569524
2021-08-11,98.9882695635088
2021-08-12,97.82513055047326
2021-08-13,97.4017375247503
2021-08-16,96.11144371354582
2021-08-17,96.76230433828292
2021-08-18,95.44677283811886
2021-08-19,96.10156705184569
2021-08-20,98.44103864099762
2021-08-23,98.23271345568668
2021-08-24,100.39107615766547
2021-08-25,101.0936686992228
2021-08-26,100.36678807323783
2021-08-27,99.92886201165638
2021-08-30,100.71988285141882
2021-08-31,99.75634237263615
2021-09-01,101.05667873073578
2021-09-02,99.41972632824188
2021-09-03,99.76680065968783
2021-09-06,97.04817408765992
2021-09-07,96.77447205058466
2021-09-08,97.1445344205095
2021-09-09,99.3044320362586
2021-09-10,101.60695409725349
2021-09-13,103.37745083862532
2021-09-14,104.34345294787965
2021-09-15,102.46022562662233
2021-09-16,102.11240066087694
2021-09-17,102.02492998604609
2021-09-20,102.89268586127311
2021-09-21,104.13304341157324
2021-09-22,104.35914126066746
2021-09-23,104.18366351612391
2021-09-24,106.33109150682736
2021-09-27,105.84082087167144
2021-09-28,107.52371684770863
2021-09-29,104.03409053703139
2021-09-30,104.35836018116144
2021-10-01,104.23574922090593
2021-10-04,100.79959485037865
2021-10-05,100.96569952105494
2021-10-06,101.96012534756156
2021-10-07,101.15034293304149
2021-10-08,98.98706494181172
2021-10-11,99.27920516372579
2021-10-12,99.48679968533422
2021-10-13,100.39682261777969
2021-10-14,99.90095050532825
2021-10-15,100.57029498309234
2021-10-18,99.43620587205291
2021-10-19,97.78470782350772
2021-10-20,98.58286876012234
2021-10-21,98.50737867690796
2021-10-22,95.21439375802608
2021-10-25,94.49996847420513
2021-10-26,95.148294446485
2021-10-27,95.38574400703418
2021-10-28,95.9167457391428
2021-10-29,96.13962507747121
2021-11-01,96.78192572350514
2021-11-02,94.72912925146939
2021-11-03,95.81455345411962
2021-11-04,95.10881949499182
2021-11-05,95.35235434013023
2021-11-08,95.20941771728839
2021-11-09,93.47934285270895
2021-11-10,93.90092147259257
2021-11-11,93.48552894676861
2021-11-12,92.84498997440737
2021-11-15,93.27435507943271
2021-11-16,92.20399119543379
2021-11-17,91.22439788083814
2021-11-18,92.28832654208824
2021-11-19,93.67590517464696
2021-11-22,93.72479843764539
2021-11-23,93.21827553316659
2021-11-24,95.31878293756104
2021-11-25,95.64118990563941
2021-11-26,94.65413264491855
2021-11-29,94.16231206392258
2021-11-30,93.907708667933
2021-12-01,93.20545403171634
2021-12-02,93.40035807525936
2021-12-03,95.26000471768964
2021-12-06,95.90840749659526
2021-12-07,94.64014191496506
2021-12-08,94.75791755431123
2021-12-09,94.54221954273842
2021-12-10,93.26912808820205
2021-12-13,92.43056828604851
2021-12-14,93.01769305090004
2021-12-15,93.62392936496525
2021-12-16,94.11812431931618
2021-12-17,92.37183143327846
2021-12-20,91.90564622838056
2021-12-21,92.50108092332634
2021-12-22,93.95392129379904
2021-12-23,93.14563586392742
2021-12-24,92.73666486660522
2021-12-27,92.19841795571702
2021-12-28,91.56485517886621
2021-12-29,91.35775781596912
2021-12-30,88.86170164390228
2021-12-31,89.7071178204952
2022-01-03,90.89543093511911
2022-01-04,90.28248650861951
2022-01-05,88.8892079957388
2022-01-06,88.01309053565456
2022-01-07,89.40040343748466
2022-01-10,88.53104046679806
2022-01-11,88.23154185644368
2022-01-12,90.69384938220162
2022-01-13,89.58381186922063
2022-01-14,91.07725983824194
2022-01-17,90.22067509173539
2022-01-18,89.87906199052875
2022-01-19,89.31533795430438
2022-01-20,89.40584460956035
2022-01-21,88.36742204303506
2022-01-24,89.77280000490482
2022-01-25,90.01190119618808
2022-01-26,89.89517876774454
2022-01-27,88.42203794105843
2022-01-28,88.75819205101583
2022-01-31,88.60603042129215
2022-02-01,89.38875123713551
2022-02-02,90.45463206443469
2022-02-03,91.58887258965267
2022-02-04,90.57912995018036
2022-02-07,91.43481483749582
2022-02-08,92.9358131013882
2022-02-09,94.4705899584464
2022-02-10,93.7132929199633
2022-02-11,94.12030462168477
2022-02-14,97.42771526617085
2022-02-15,96.49237757896388
2022-02-16,96.50392346925554
2022-02-17,97.13243298334572
2022-02-18,95.68184539301309
2022-02-21,96.9475144092252
2022-02-22,96.56647636480868
2022-02-23,94.86371920340059
2022-02-24,94.98356664261219
2022-02-25,94.26084151755285
2022-02-28,93.00098779834116
2022-03-01,91.78167178903949
2022-03-02,92.69736662023192
2022-03-03,91.49875152658079
2022-03-04,93.58625302520093
2022-03-07,92.99627118244865
2022-03-08,93.16267468056641
2022-03-09,92.96690173126152
2022-03-10,92.62088194361866
2022-03-11,93.29419573049896
2022-03-14,94.64713731498868
2022-03-15,96.0813232801793
2022-03-16,97.0151129564252
2022-03-17,98.33741318677892
2022-03-18,99.23224421819145
2022-03-21,98.99473486538668
2022-03-22,97.18307507110656
2022-03-23,96.84204443107976
2022-03-24,97.08824106542984
2022-03-25,94.28469544661503
2022-03-28,93.07276845660236
2022-03-29,91.72430152978222
2022-03-30,93.0764840085235
2022-03-31,91.92967432963128
2022-04-01,89.0665896796844
2022-04-04,89.41207869646726
2022-04-05,89.28959375973233
2022-04-06,89.88646670585383
2022-04-07,90.0315882823647
2022-04-08,90.74687963251397
2022-04-11,90.39495205128894
2022-04-12,89.75834122540208
2022-04-13,89.07844569000758
2022-04-14,89.49701616913144
2022-04-15,90.99884747220014
2022-04-18,90.4808071819462
2022-04-19,89.80614095570361
2022-04-20,88.11303389318383
2022-04-21,87.68372094419962
2022-04-22,88.79447369384127
2022-04-25,88.4468489963317
2022-04-26,90.03167070871345
2022-04-27,90.53889099689393
2022-04-28,90.14381853164063
2022-04-29,92.21449163509087
2022-05-02,93.07141949384894
2022-05-03,93.28017427930517
2022-05-04,93.57273689377111
2022-05-05,91.73688254486417
2022-05-06,92.74784268203818
2022-05-09,93.7822358456919
2022-05-10,95.4982538302914
2022-05-11,97.73235379496073
2022-05-12,99.3216460427158
2022-05-13,95.89731256893562
2022-05-16,94.0467513949532
2022-05-17,95.1583912220984
2022-05-18,92.64123166709327
2022-05-19,91.74502485481055
2022-05-20,92.11795786428887
2022-05-23,92.43905649609793
2022-05-24,92.49451616167889
2022-05-25,92.23403240516397
2022-05-26,92.8664311860461
2022-05-27,94.32490966293186
2022-05-30,95.5795928346897
2022-05-31,96.90496789108013
2022-06-01,97.42804249472142
2022-06-02,96.74942081700908
2022-06-03,95.94379258643849
2022-06-06,95.79658617241414
2022-06-07,94.7780596473452
2022-06-08,93.86439680458206
2022-06-09,93.84699613485881
2022-06-10,95.08743739185563
2022-06-13,96.09147896864165
2022-06-14,97.3648490009029
2022-06-15,98.35338427411186
