Date,FTEC
2021-04-19,109.3193588256836
2021-04-20,108.30419158935547
2021-04-21,109.41605377197266
2021-04-22,108.31387329101562
2021-04-23,109.94779968261719
2021-04-26,110.85665130615234
2021-04-27,110.41190338134766
2021-04-28,109.60943603515625
2021-04-29,109.2033462524414
2021-04-30,107.63709259033203
2021-05-03,107.19234466552734
2021-05-04,105.02664947509766
2021-05-05,104.80428314208984
2021-05-06,105.36502838134766
2021-05-07,106.41889190673828
2021-05-10,103.62474060058594
2021-05-11,103.55707550048828
2021-05-12,100.51156616210938
2021-05-13,101.58473205566406
2021-05-14,103.98246765136719
2021-05-17,103.26700592041016
2021-05-18,102.59024810791016
2021-05-19,102.88996887207031
2021-05-20,104.96863555908203
2021-05-21,104.43689727783203
2021-05-24,106.29320526123047
2021-05-25,106.31253051757812
2021-05-26,106.45755767822266
2021-05-27,106.04181671142578
2021-05-28,106.29320526123047
2021-06-01,105.84846496582031
2021-06-02,106.51555633544922
2021-06-03,105.32637786865234
2021-06-04,107.36637878417969
2021-06-07,107.50171661376953
2021-06-08,107.6274185180664
2021-06-09,107.55975341796875
2021-06-10,108.49756622314453
2021-06-11,109.21304321289062
2021-06-14,110.4408950805664
2021-06-15,109.63843536376953
2021-06-16,109.22269439697266
2021-06-17,110.60523986816406
2021-06-18,109.66387176513672
2021-06-21,110.7098388671875
2021-06-22,111.7848892211914
2021-06-23,111.7364730834961
2021-06-24,112.54034423828125
2021-06-25,112.38536834716797
2021-06-28,113.67347717285156
2021-06-29,114.45796966552734
2021-06-30,114.08024597167969
2021-07-01,114.0996322631836
2021-07-02,115.52332305908203
2021-07-06,116.0656967163086
2021-07-07,116.50151062011719
2021-07-08,115.34899139404297
2021-07-09,116.45307159423828
2021-07-12,116.45307159423828
2021-07-13,116.70491027832031
2021-07-14,117.23758697509766
2021-07-15,116.14315032958984
2021-07-16,115.10688781738281
2021-07-19,113.65411376953125
2021-07-20,115.51363372802734
2021-07-21,116.73394012451172
2021-07-22,117.5184326171875
2021-07-23,118.69035339355469
2021-07-26,118.67095947265625
2021-07-27,117.3247299194336
2021-07-28,117.49907684326172
2021-07-29,118.08985900878906
2021-07-30,117.91552734375
2021-08-02,117.6346664428711
2021-08-03,118.27388000488281
2021-08-04,118.60316467285156
2021-08-05,119.35859680175781
2021-08-06,119.07772827148438
2021-08-09,118.884033203125
2021-08-10,117.93489074707031
2021-08-11,117.82836151123047
2021-08-12,118.50631713867188
2021-08-13,119.01962280273438
2021-08-16,119.2520523071289
2021-08-17,118.15765380859375
2021-08-18,116.74363708496094
2021-08-19,117.60559844970703
2021-08-20,119.09712219238281
2021-08-23,120.69512939453125
2021-08-24,120.908203125
2021-08-25,120.92758178710938
2021-08-26,120.2302474975586
2021-08-27,121.5861587524414
2021-08-30,122.82585144042969
2021-08-31,122.04137420654297
2021-09-01,122.1285171508789
2021-09-02,122.20600891113281
2021-09-03,122.82585144042969
2021-09-07,122.67088317871094
2021-09-08,121.95419311523438
2021-09-09,121.54741668701172
2021-09-10,120.37554168701172
2021-09-13,120.32710266113281
2021-09-14,120.21089172363281
2021-09-15,121.22781372070312
2021-09-16,121.4699478149414
2021-09-17,119.77823638916016
2021-09-20,117.46956634521484
2021-09-21,117.5762710571289
2021-09-22,119.30290985107422
2021-09-23,120.8840560913086
2021-09-24,120.87434387207031
2021-09-27,119.71031951904297
2021-09-28,115.93695068359375
2021-09-29,115.66533660888672
2021-09-30,115.07361602783203
