,VTEB
2021-06-22,100.2006850050255
2021-06-23,100.41983667831865
2021-06-24,100.01908014413571
2021-06-25,100.053515623342
2021-06-28,99.99049074318002
2021-06-29,100.07905606998781
2021-06-30,100.02171570622129
2021-07-01,100.06626974665589
2021-07-02,100.21731616195673
2021-07-05,100.06760537708341
2021-07-06,99.88519255060211
2021-07-07,99.67953046548064
2021-07-08,99.8855391581828
2021-07-09,99.55475580191082
2021-07-12,98.9558035326879
2021-07-13,98.99168712606536
2021-07-14,99.15846669064607
2021-07-15,99.09186541518733
2021-07-16,98.45594929550607
2021-07-19,98.20406779733781
2021-07-20,97.63536494932006
2021-07-21,97.86752291604142
2021-07-22,98.27603454388864
2021-07-23,98.92651088906533
2021-07-26,98.37671639401344
2021-07-27,98.17826878923269
2021-07-28,98.071471850892
2021-07-29,97.93031325854
2021-07-30,97.60259021482513
2021-08-02,97.09143180862397
2021-08-03,97.60463693793699
2021-08-04,97.33545567286463
2021-08-05,97.50935855945583
2021-08-06,97.42439757659906
2021-08-09,97.46963955961567
2021-08-10,97.14631690866659
2021-08-11,97.61294398786909
2021-08-12,97.4680069552038
2021-08-13,97.31914665281785
2021-08-16,96.75884222364797
2021-08-17,96.69846379551204
2021-08-18,96.38434250635439
2021-08-19,96.3425615551441
2021-08-20,96.52142238055644
2021-08-23,96.58841438203018
2021-08-24,96.10212282052244
2021-08-25,95.88675182896651
2021-08-26,96.24727906648097
2021-08-27,96.24257608133898
2021-08-30,96.84339979543188
2021-08-31,97.10955873524226
2021-09-01,97.22603955570645
2021-09-02,97.26543747379579
2021-09-03,97.17986229982897
2021-09-06,97.36355620683862
2021-09-07,97.02385480424492
2021-09-08,96.79966169489425
2021-09-09,96.6736101485483
2021-09-10,96.14787936757953
2021-09-13,96.57833307008788
2021-09-14,96.3701204046156
2021-09-15,96.2529884035712
2021-09-16,95.76469766108768
2021-09-17,95.82593570620011
2021-09-20,95.79075212064247
2021-09-21,95.6974521186417
2021-09-22,95.81293924423962
2021-09-23,95.86071199034373
2021-09-24,96.0140235496225
2021-09-27,96.35280145806662
2021-09-28,96.43179616154313
2021-09-29,95.97726395957143
2021-09-30,95.75344914623561
2021-10-01,95.75182644142954
2021-10-04,95.52183145820831
2021-10-05,95.3005945653977
2021-10-06,94.7592189072354
2021-10-07,94.49472554841716
2021-10-08,94.40078137436504
2021-10-11,94.32685341162626
2021-10-12,94.71813941486423
2021-10-13,94.87545154760517
2021-10-14,95.02616828941862
2021-10-15,95.0209081758559
2021-10-18,94.96688682709551
2021-10-19,94.7172757349573
2021-10-20,95.01438543075665
2021-10-21,94.90867292091771
2021-10-22,94.52736653485286
2021-10-25,94.1993523286345
2021-10-26,94.40692304752466
2021-10-27,93.97916541714918
2021-10-28,93.92998907681398
2021-10-29,93.8109663184854
2021-11-01,93.66928506709658
2021-11-02,93.91519761492549
2021-11-03,94.07030924948124
2021-11-04,94.39865629444905
2021-11-05,94.28286648432672
2021-11-08,94.07431583283551
2021-11-09,94.62206575013703
2021-11-10,95.13999062677324
2021-11-11,94.8645656749048
2021-11-12,94.28870176678652
2021-11-15,94.39924605885174
2021-11-16,94.57202216501001
2021-11-17,94.35968222277351
2021-11-18,94.53738838577635
2021-11-19,94.27275868371095
2021-11-22,94.02978575117102
2021-11-23,94.28217425289625
2021-11-24,94.4261088533629
2021-11-25,94.19557717924533
2021-11-26,93.93577702713775
2021-11-29,94.30382093364703
2021-11-30,94.7031634596331
2021-12-01,94.0757288954907
2021-12-02,94.05949360745677
2021-12-03,93.71084050349555
2021-12-06,93.66328017829758
2021-12-07,93.85584283014981
2021-12-08,94.2356520192966
2021-12-09,93.98681908949045
2021-12-10,93.31141567035155
2021-12-13,93.14749052298804
2021-12-14,92.9996768669216
2021-12-15,93.42528080412258
2021-12-16,93.40913724091887
2021-12-17,93.43667341181444
2021-12-20,93.6804712895707
2021-12-21,93.85843535902471
2021-12-22,93.28016000135182
2021-12-23,93.2523763437392
2021-12-24,93.45093671206226
2021-12-27,93.04143593401517
2021-12-28,92.752425818527
2021-12-29,92.56811087534832
2021-12-30,92.77829513581945
2021-12-31,92.61692843833426
2022-01-03,92.82982742473934
2022-01-04,92.8499996406695
2022-01-05,92.85036836746417
2022-01-06,92.67825027655662
2022-01-07,92.4690824892286
2022-01-10,92.73931880262715
2022-01-11,92.4353431317016
2022-01-12,92.84336650447334
2022-01-13,92.62727487222503
2022-01-14,92.46717237137331
2022-01-17,92.1598354810207
2022-01-18,92.0571909219841
2022-01-19,92.44825700419183
2022-01-20,92.50038076269504
2022-01-21,93.0768324561605
2022-01-24,93.13477317285735
2022-01-25,92.98997811006915
2022-01-26,93.69676484180907
2022-01-27,93.6938032579458
2022-01-28,93.66027876315206
2022-01-31,94.27884647861077
2022-02-01,93.73388582389288
2022-02-02,93.28578721857836
2022-02-03,93.76570340195033
2022-02-04,93.53922150959968
2022-02-07,93.65060779450172
2022-02-08,94.08056376685096
2022-02-09,94.53993896167316
2022-02-10,94.29450100883247
2022-02-11,94.4227066981599
2022-02-14,94.14199972592034
2022-02-15,94.21748271286329
2022-02-16,94.2519509389192
2022-02-17,94.01989240914692
2022-02-18,94.05867695081251
2022-02-21,94.48238980739094
2022-02-22,94.68993970735502
2022-02-23,94.42125977643911
2022-02-24,94.2650159058621
2022-02-25,93.91780820822596
2022-02-28,94.0756494723814
2022-03-01,94.10727834893194
2022-03-02,93.84802284778857
2022-03-03,93.63458182683351
2022-03-04,93.42471254671099
2022-03-07,92.90573652852403
2022-03-08,93.1754838276658
2022-03-09,93.11431824378865
2022-03-10,93.649275545445
2022-03-11,93.52359240466348
2022-03-14,93.38325363658487
2022-03-15,93.81592998637277
2022-03-16,94.05441487812254
2022-03-17,94.47949381473326
2022-03-18,94.53695966770358
2022-03-21,94.56562912748255
2022-03-22,95.09849445020265
2022-03-23,95.09120778544055
2022-03-24,95.49658511166432
2022-03-25,95.04619839672408
2022-03-28,94.5724729319386
2022-03-29,94.27101763720232
2022-03-30,94.25638487164694
2022-03-31,94.49590239648035
2022-04-01,95.02309013769597
2022-04-04,94.18180830189328
2022-04-05,94.17720332357761
2022-04-06,93.91964464467296
2022-04-07,93.79376362026309
2022-04-08,94.05754759495002
2022-04-11,94.01736008677027
2022-04-12,94.00155072981671
2022-04-13,94.12749338968358
2022-04-14,93.92976200877786
2022-04-15,94.29478187666123
2022-04-18,94.17499369788568
2022-04-19,94.44479240576406
2022-04-20,95.34859530601679
2022-04-21,95.79461150655327
2022-04-22,96.16502612860583
