,SPYM
2021-06-22,99.77341223236002
2021-06-23,98.87574370329884
2021-06-24,100.64450150295225
2021-06-25,101.61784676566185
2021-06-28,102.04014582818121
2021-06-29,101.37604176350162
2021-06-30,101.91320031187627
2021-07-01,102.00907009229361
2021-07-02,101.90231915774564
2021-07-05,102.45694793858257
2021-07-06,101.6434705509554
2021-07-07,99.75808389399819
2021-07-08,100.06864338122571
2021-07-09,99.27649537334851
2021-07-12,98.60763025951911
2021-07-13,97.82203678478795
2021-07-14,98.35341955681041
2021-07-15,99.05717630828744
2021-07-16,99.13589796200928
2021-07-19,99.95790068852821
2021-07-20,99.3628361115693
2021-07-21,100.05957948367583
2021-07-22,99.93860129195767
2021-07-23,98.983860306508
2021-07-26,97.8823448049278
2021-07-27,97.52113136740196
2021-07-28,98.86243505167157
2021-07-29,100.05362138259078
2021-07-30,99.53661197975951
2021-08-02,99.47179077854962
2021-08-03,100.6365179537463
2021-08-04,102.23704007651071
2021-08-05,102.42491469888759
2021-08-06,104.07412135898608
2021-08-09,103.89551390543777
2021-08-10,105.38486531167057
2021-08-11,105.01386146461154
2021-08-12,105.20530898869707
2021-08-13,105.52801988795954
2021-08-16,108.28679420047511
2021-08-17,109.34186535309311
2021-08-18,109.07613346869508
2021-08-19,110.00991862312286
2021-08-20,109.68317775921143
2021-08-23,108.22125282421082
2021-08-24,109.39476745433878
2021-08-25,108.88196703288975
2021-08-26,108.87263769710485
2021-08-27,109.22953197334735
2021-08-30,109.52699531451357
2021-08-31,109.12619897523228
2021-09-01,108.43681069147246
2021-09-02,107.62038279735629
2021-09-03,109.60960728490991
2021-09-06,110.65324419701655
2021-09-07,110.77603053138745
2021-09-08,111.7229300498703
2021-09-09,111.51096611690055
2021-09-10,113.0958170177389
2021-09-13,112.24762508100787
2021-09-14,111.1032916760472
2021-09-15,110.41430115737292
2021-09-16,110.71598715905682
2021-09-17,111.53880361355016
2021-09-20,111.32143155161603
2021-09-21,111.96389054431728
2021-09-22,112.40197549662152
2021-09-23,113.72395225792398
2021-09-24,111.90005754130313
2021-09-27,110.70403480762604
2021-09-28,111.72556594518026
2021-09-29,112.26950371694329
2021-09-30,112.56254448413831
2021-10-01,114.0655979612274
2021-10-04,114.38905009567155
2021-10-05,115.58536349429431
2021-10-06,114.41704998253188
2021-10-07,113.81846969682942
2021-10-08,112.73232324177023
2021-10-11,113.20256916133806
2021-10-12,111.40617362292447
2021-10-13,111.6625988425622
2021-10-14,112.53125767596946
2021-10-15,112.14938151841542
2021-10-18,112.43207068203608
2021-10-19,113.87790147692351
2021-10-20,113.23927340388005
2021-10-21,112.72268462139188
2021-10-22,113.01077438170293
2021-10-25,114.39011003193207
2021-10-26,115.80307090162263
2021-10-27,116.04315050978356
2021-10-28,115.08286776102261
2021-10-29,113.22886393483323
2021-11-01,113.06391778624483
2021-11-02,111.72571403158294
2021-11-03,109.81074730110119
2021-11-04,107.73448377663361
2021-11-05,110.43251913324363
2021-11-08,110.99996241240744
2021-11-09,113.36842941772582
2021-11-10,112.48797064126342
2021-11-11,114.10472080396676
2021-11-12,112.57433282243774
2021-11-15,113.51429045603427
2021-11-16,112.0930426867782
2021-11-17,114.27144134364322
2021-11-18,113.67951798701101
2021-11-19,114.77752604158195
2021-11-22,116.51964588793247
2021-11-23,117.8258116247985
2021-11-24,117.75249287077354
2021-11-25,115.57991326996888
2021-11-26,114.91351013992583
2021-11-29,115.20532219701887
2021-11-30,115.45515243060585
2021-12-01,115.73357391602018
2021-12-02,114.9136487193037
2021-12-03,114.5014490290164
2021-12-06,116.35401014581885
2021-12-07,115.94914950848533
2021-12-08,114.88034992901876
2021-12-09,112.9034508188997
2021-12-10,114.18121267589581
2021-12-13,114.09114404895233
2021-12-14,112.28652496439541
2021-12-15,113.6852475601752
2021-12-16,112.3987312591475
2021-12-17,109.9984367980256
2021-12-20,110.85004161109202
2021-12-21,111.25949725543862
2021-12-22,110.87426665915802
2021-12-23,110.72196501460836
2021-12-24,109.73708829145747
2021-12-27,110.35923477725753
2021-12-28,110.99723417253277
2021-12-29,111.25318736367649
2021-12-30,111.17719193527107
2021-12-31,111.14716292954752
2022-01-03,110.45254260277528
2022-01-04,109.5555142941568
2022-01-05,109.09517308717061
2022-01-06,110.40782671124505
2022-01-07,110.81090214866308
2022-01-10,113.32849114953514
2022-01-11,113.95629448654425
2022-01-12,112.77617848054288
2022-01-13,113.48958284507651
2022-01-14,114.2282935094691
2022-01-17,112.44665951078892
2022-01-18,113.12821025045254
2022-01-19,111.97659422666963
2022-01-20,112.80682951447396
2022-01-21,113.26667778137787
2022-01-24,113.45271306447337
2022-01-25,112.40451272211087
2022-01-26,112.99228778058523
2022-01-27,114.8284780653152
2022-01-28,113.27456423702611
2022-01-31,112.88583972858379
2022-02-01,113.86223931419967
2022-02-02,114.55984304822297
2022-02-03,112.96202785141449
2022-02-04,115.36395612286083
2022-02-07,115.15234064327207
2022-02-08,115.90705276145495
2022-02-09,114.43894266882566
2022-02-10,115.64462124397414
2022-02-11,117.15539872023459
2022-02-14,118.20999110632326
2022-02-15,118.11503021071258
2022-02-16,120.06095993899879
2022-02-17,120.9829544496309
2022-02-18,118.55719002058194
2022-02-21,118.22764053464425
2022-02-22,118.72961853816022
2022-02-23,116.75754616419216
2022-02-24,116.0001308463338
2022-02-25,115.36378994505606
2022-02-28,114.42575182383283
2022-03-01,115.43657581791756
2022-03-02,116.23001900486454
2022-03-03,117.5587696193841
2022-03-04,117.53814920478722
2022-03-07,114.78418162293569
2022-03-08,114.49678271244315
2022-03-09,111.32693246028975
2022-03-10,111.66993742834408
2022-03-11,112.46769159059006
2022-03-14,113.1422240279535
2022-03-15,112.85154008145098
2022-03-16,112.46322063041461
2022-03-17,113.19840985758867
2022-03-18,113.02643156243397
2022-03-21,111.1912286762011
2022-03-22,111.67761625010621
2022-03-23,111.26163546149341
2022-03-24,108.8592164579244
2022-03-25,109.173864334199
2022-03-28,109.58259240496366
2022-03-29,108.81331948851214
2022-03-30,106.95088978799474
2022-03-31,105.53336058842655
2022-04-01,104.87364555794775
2022-04-04,105.31625273362577
2022-04-05,105.7173878853025
2022-04-06,104.0832778719313
2022-04-07,105.09155137300652
2022-04-08,103.33391066827969
2022-04-11,101.96466456230017
2022-04-12,102.13763326436312
2022-04-13,104.28812993297647
2022-04-14,104.59872361718945
2022-04-15,105.72970856762396
2022-04-18,105.96929232443159
2022-04-19,107.00011093550594
2022-04-20,107.61139788310471
2022-04-21,105.84015640646345
2022-04-22,106.40656554137277
2022-04-25,104.58447520461989
2022-04-26,104.11470320605123
2022-04-27,105.72151703520343
2022-04-28,106.12800031343875
2022-04-29,105.64375497100755
2022-05-02,104.76383544623755
2022-05-03,106.70549182337636
2022-05-04,107.67828393485495
2022-05-05,105.60753782306276
2022-05-06,107.74701436999592
2022-05-09,105.38908550298328
2022-05-10,103.33030527425635
2022-05-11,103.55317502272288
2022-05-12,104.27935090300642
2022-05-13,105.15213495309708
2022-05-16,103.2606492546196
2022-05-17,102.13199753617413
2022-05-18,100.88030341138887
2022-05-19,102.0350911074827
2022-05-20,102.2411410691441
2022-05-23,102.73657451373555
2022-05-24,103.06594254974213
2022-05-25,100.3027871590105
2022-05-26,100.87539048073022
2022-05-27,102.18936115877828
2022-05-30,102.04338184261496
2022-05-31,102.52012210993087
2022-06-01,100.81982764877455
2022-06-02,100.55432728524767
2022-06-03,99.06380846636493
2022-06-06,98.44669430209703
2022-06-07,98.66106996706084
2022-06-08,98.5347179011189
2022-06-09,100.53591387719875
2022-06-10,99.86299489158934
2022-06-13,98.84513299060512
2022-06-14,98.40974675346926
2022-06-15,98.28185815479527
2022-06-16,98.5528923225975
2022-06-17,98.87385255512642
2022-06-20,98.7223864258022
2022-06-21,98.99262542960707
2022-06-22,98.86000478649517
2022-06-23,99.53456562637527
2022-06-24,100.12819357617192
2022-06-27,98.69559306587792
2022-06-28,97.48179521074614
2022-06-29,97.20448062307118
2022-06-30,95.94337571533205
2022-07-01,97.28617242420145
2022-07-04,98.12737706743366
2022-07-05,97.91281100351132
2022-07-06,97.54415126426214
2022-07-07,99.08107294105811
2022-07-08,100.22751382719781
2022-07-11,99.29008020841722
2022-07-12,96.31769744764182
2022-07-13,97.19802496878305
2022-07-14,96.96884576548568
2022-07-15,95.60599555211175
2022-07-18,94.1491339879541
2022-07-19,93.97738716361988
2022-07-20,93.31970549447371
2022-07-21,94.67614145968447
2022-07-22,95.05174115549066
2022-07-25,94.94528853859224
2022-07-26,95.03428510999258
2022-07-27,97.69113433988358
2022-07-28,98.75670264008036
2022-07-29,97.51941063103816
2022-08-01,98.45777313784792
2022-08-02,97.16784296127166
2022-08-03,99.53536615853136
2022-08-04,99.60318630411861
2022-08-05,99.24096394208036
2022-08-08,99.17309018022928
2022-08-09,99.89456193143853
2022-08-10,100.12271579482801
2022-08-11,99.44328228937268
2022-08-12,99.33502792133407
2022-08-15,99.02042738902095
2022-08-16,101.01806656514174
2022-08-17,101.3938935731332
2022-08-18,100.80140178542716
2022-08-19,101.78502784059675
2022-08-22,102.7661023208408
2022-08-23,102.00594438491113
2022-08-24,100.67504375786025
2022-08-25,101.55817234634912
2022-08-26,101.24468784602134
2022-08-29,101.07732306597978
2022-08-30,101.26599281254236
2022-08-31,103.71516854175475
2022-09-01,103.83859046648243
2022-09-02,102.24465985904445
2022-09-05,102.72936282619918
2022-09-06,103.95851280568426
2022-09-07,104.72342712487696
2022-09-08,104.08661227888214
2022-09-09,103.33243631652556
2022-09-12,103.87936605305741
2022-09-13,103.49969335498415
2022-09-14,101.85971453708721
2022-09-15,102.59537486756048
2022-09-16,101.74094577228286
2022-09-19,101.89502186014172
2022-09-20,103.09317597142697
2022-09-21,102.90570467739816
2022-09-22,103.76359051998789
2022-09-23,104.15894961619327
2022-09-26,104.1840546847195
2022-09-27,104.0898722239947
2022-09-28,104.26695579286812
2022-09-29,104.10467537779328
2022-09-30,103.12247008928183
2022-10-03,101.31342363926672
2022-10-04,101.78084959256357
2022-10-05,99.87315584986598
2022-10-06,99.25762590825613
2022-10-07,99.06852594968156
2022-10-10,99.58590886759124
2022-10-11,98.10033797603299
2022-10-12,99.22728199039554
2022-10-13,100.09133944741839
2022-10-14,99.68949832675172
2022-10-17,99.14202632438189
2022-10-18,99.18798781789955
2022-10-19,99.81201392811383
2022-10-20,97.835390166243
2022-10-21,99.18820853567696
2022-10-24,99.55593509688404
2022-10-25,99.73914011532092
2022-10-26,99.2049971534488
2022-10-27,100.6532079513127
2022-10-28,100.18590682516648
2022-10-31,100.05817481803152
2022-11-01,99.88367921969147
2022-11-02,100.48149136561426
2022-11-03,100.28989543646965
2022-11-04,98.38696158751338
2022-11-07,99.17418762558697
2022-11-08,98.90567754051169
2022-11-09,98.15789065932091
2022-11-10,97.1990277344602
2022-11-11,97.26727665777327
2022-11-14,97.8405338201344
2022-11-15,98.56944183723996
2022-11-16,99.03967754991424
2022-11-17,99.53419885072448
2022-11-18,97.46091037596025
2022-11-21,98.0624077906098
2022-11-22,99.44794479281688
2022-11-23,98.96176040107774
2022-11-24,100.02621253563466
2022-11-25,100.47576452899294
2022-11-28,102.41736412664042
2022-11-29,103.51064903673053
2022-11-30,103.50838907704731
2022-12-01,104.41025783364186
2022-12-02,101.49558348693002
2022-12-05,100.44620519959825
2022-12-06,99.4576134604772
2022-12-07,99.9795572260275
2022-12-08,101.16309580169019
2022-12-09,100.44977766097945
2022-12-12,101.34260475071513
2022-12-13,102.74755586901887
2022-12-14,102.01216203555839
2022-12-15,99.81602337131048
2022-12-16,100.08327310989522
2022-12-19,99.13051451127049
2022-12-20,99.39159689252365
2022-12-21,98.37042618819403
2022-12-22,98.9962535325244
2022-12-23,99.09425361825626
2022-12-26,98.24773996870961
2022-12-27,97.45828082382883
2022-12-28,97.17332879108463
2022-12-29,94.81992324658532
2022-12-30,93.42091275963466
2023-01-02,93.20536655069108
2023-01-03,93.88781694847312
2023-01-04,93.58442814036464
2023-01-05,93.26208618772715
2023-01-06,94.65200120120616
2023-01-09,94.93643551228288
2023-01-10,95.31092654293708
2023-01-11,95.21173183102636
2023-01-12,94.74038657349463
2023-01-13,94.15439693169931
2023-01-16,92.68948381040887
2023-01-17,92.50344559358166
2023-01-18,92.80736718893954
2023-01-19,93.31798208195487
2023-01-20,93.62625719828841
2023-01-23,93.03814959960684
2023-01-24,93.78725756455334
2023-01-25,93.56435820594346
2023-01-26,91.9381925787488
2023-01-27,91.96213802845563
2023-01-30,92.08784692707717
2023-01-31,91.66910655071722
2023-02-01,92.15294282566413
2023-02-02,92.82977094036565
2023-02-03,92.38479309657737
2023-02-06,92.127700388986
2023-02-07,91.77466153308262
2023-02-08,91.87171008757385
2023-02-09,92.67372627710196
2023-02-10,91.48436166845356
2023-02-13,92.39578246381275
2023-02-14,91.5846340188062
2023-02-15,93.23219053188527
2023-02-16,91.99887607603998
2023-02-17,92.82812137735202
2023-02-20,92.41535606725975
2023-02-21,92.14441684647807
2023-02-22,92.4401416802067
2023-02-23,92.88172335109564
2023-02-24,94.3001544923343
2023-02-27,95.37661024793165
2023-02-28,95.35602753591817
2023-03-01,94.50138865610829
2023-03-02,94.44396575422292
2023-03-03,94.70680779909038
2023-03-06,94.17844264510305
2023-03-07,94.9724568158979
2023-03-08,94.15652391646096
2023-03-09,95.48770301482894
2023-03-10,96.68900099262844
2023-03-13,97.57953516592994
2023-03-14,97.4834777604657
2023-03-15,97.25745766501998
2023-03-16,96.73391915995217
2023-03-17,97.945176125561
2023-03-20,98.8229614661023
2023-03-21,98.8624852933811
2023-03-22,98.32994059503355
2023-03-23,97.23380834602334
2023-03-24,96.5237331197902
2023-03-27,96.44713679893829
2023-03-28,94.24429411871618
2023-03-29,93.56149447790423
2023-03-30,94.07895467785598
2023-03-31,95.28876612272205
2023-04-03,96.586988333277
2023-04-04,96.93742864105157
2023-04-05,97.21969938624794
2023-04-06,97.55549294724844
2023-04-07,96.61149788705377
2023-04-10,96.33490600608296
2023-04-11,96.4568912703172
2023-04-12,95.20405752177554
2023-04-13,93.28720493224994
2023-04-14,91.27486667674593
2023-04-17,90.57431848363416
2023-04-18,90.68902480547375
2023-04-19,90.09337831048715
