Date,BSV
2021-04-19,72.02169799804688
2021-04-20,72.0479736328125
2021-04-21,72.0479736328125
2021-04-22,72.07421875
2021-04-23,72.06547546386719
2021-04-26,72.0479736328125
2021-04-27,72.02169799804688
2021-04-28,72.0479736328125
2021-04-29,72.0479736328125
2021-04-30,72.06547546386719
2021-05-03,72.0777359008789
2021-05-04,72.08650970458984
2021-05-05,72.14788818359375
2021-05-06,72.13033294677734
2021-05-07,72.18295288085938
2021-05-10,72.15662384033203
2021-05-11,72.12158203125
2021-05-12,72.06897735595703
2021-05-13,72.12158203125
2021-05-14,72.13910675048828
2021-05-17,72.13033294677734
2021-05-18,72.14788818359375
2021-05-19,72.1128158569336
2021-05-20,72.16537475585938
2021-05-21,72.16537475585938
2021-05-24,72.18295288085938
2021-05-25,72.21798706054688
2021-05-26,72.209228515625
2021-05-27,72.18295288085938
2021-05-28,72.21798706054688
2021-06-01,72.20308685302734
2021-06-02,72.22063446044922
2021-06-03,72.1504135131836
2021-06-04,72.22940063476562
2021-06-07,72.22063446044922
2021-06-08,72.2469482421875
2021-06-09,72.26448059082031
2021-06-10,72.31712341308594
2021-06-11,72.28202056884766
2021-06-14,72.2469482421875
2021-06-15,72.2381591796875
2021-06-16,72.08023834228516
2021-06-17,72.05393981933594
2021-06-18,72.02759552001953
2021-06-21,72.02759552001953
2021-06-22,72.08903503417969
2021-06-23,72.045166015625
2021-06-24,72.03636932373047
2021-06-25,72.01881408691406
2021-06-28,72.05393981933594
2021-06-29,72.07149505615234
2021-06-30,72.08023834228516
2021-07-01,72.06092834472656
2021-07-02,72.11361694335938
2021-07-06,72.17508697509766
2021-07-07,72.21022033691406
2021-07-08,72.26290893554688
2021-07-09,72.21022033691406
2021-07-12,72.16632843017578
2021-07-13,72.1048355102539
2021-07-14,72.17508697509766
2021-07-15,72.1926498413086
2021-07-16,72.16632843017578
2021-07-19,72.2717056274414
2021-07-20,72.28925323486328
2021-07-21,72.26290893554688
2021-07-22,72.29801940917969
2021-07-23,72.29801940917969
2021-07-26,72.29801940917969
2021-07-27,72.31560516357422
2021-07-28,72.3507308959961
2021-07-29,72.31560516357422
2021-07-30,72.3507308959961
2021-08-02,72.40519714355469
2021-08-03,72.42277526855469
2021-08-04,72.37884521484375
2021-08-05,72.29974365234375
2021-08-06,72.22944641113281
2021-08-09,72.18550109863281
2021-08-10,72.13273620605469
2021-08-11,72.18550109863281
2021-08-12,72.16790008544922
2021-08-13,72.22065734863281
2021-08-16,72.27337646484375
2021-08-17,72.23820495605469
2021-08-18,72.20307159423828
2021-08-19,72.20307159423828
2021-08-20,72.21183776855469
2021-08-23,72.22944641113281
2021-08-24,72.21183776855469
2021-08-25,72.19425964355469
2021-08-26,72.18550109863281
2021-08-27,72.25579071044922
2021-08-30,72.29974365234375
2021-08-31,72.29974365234375
2021-09-01,72.2962417602539
2021-09-02,72.3050308227539
2021-09-03,72.2962417602539
2021-09-07,72.23463439941406
2021-09-08,72.26101684570312
2021-09-09,72.28744506835938
2021-09-10,72.26982879638672
2021-09-13,72.27861785888672
2021-09-14,72.2962417602539
2021-09-15,72.2962417602539
2021-09-16,72.25224304199219
2021-09-17,72.21702575683594
2021-09-20,72.25224304199219
2021-09-21,72.26982879638672
2021-09-22,72.1906509399414
2021-09-23,72.1378402709961
2021-09-24,72.09388732910156
2021-09-27,72.07628631591797
2021-09-28,72.0499038696289
2021-09-29,72.08507537841797
2021-09-30,72.08507537841797
2021-10-01,72.1845703125
2021-10-04,72.14054870605469
2021-10-05,72.09652709960938
2021-10-06,72.07891845703125
2021-10-07,72.03489685058594
2021-10-08,71.99088287353516
2021-10-11,71.90283203125
2021-10-12,71.95565795898438
2021-10-13,71.92922973632812
2021-10-14,71.95565795898438
2021-10-15,71.86756896972656
2021-10-18,71.77955627441406
2021-10-19,71.80596923828125
2021-10-20,71.82354736328125
2021-10-21,71.67387390136719
2021-10-22,71.68269348144531
2021-10-25,71.76190185546875
2021-10-26,71.72673034667969
2021-10-27,71.74434661865234
2021-10-28,71.72673034667969
2021-10-29,71.7091064453125
2021-11-01,71.72054290771484
2021-11-02,71.8087158203125
2021-11-03,71.79987335205078
2021-11-04,71.88797760009766
2021-11-05,71.96731567382812
2021-11-08,71.84395599365234
2021-11-09,71.8968276977539
2021-11-10,71.66765594482422
2021-11-11,71.57957458496094
2021-11-12,71.65005493164062
2021-11-15,71.6059799194336
2021-11-16,71.59716033935547
2021-11-17,71.65005493164062
2021-11-18,71.65885925292969
2021-11-19,71.62361145019531
2021-11-22,71.47378540039062
2021-11-23,71.45616149902344
2021-11-24,71.39447784423828
2021-11-26,71.65005493164062
2021-11-29,71.66765594482422
2021-11-30,71.66765594482422
2021-12-01,71.67827606201172
2021-12-02,71.55477142333984
2021-12-03,71.63416290283203
2021-12-06,71.5459213256836
2021-12-07,71.47537994384766
2021-12-08,71.44888305664062
2021-12-09,71.44888305664062
2021-12-10,71.50183868408203
2021-12-13,71.5459213256836
2021-12-14,71.50183868408203
2021-12-15,71.51951599121094
2021-12-16,71.60772705078125
2021-12-17,71.61652374267578
2021-12-20,71.64297485351562
2021-12-21,71.52832794189453
2021-12-22,71.57244110107422
2021-12-23,71.54937744140625
2021-12-27,71.54054260253906
