Date,IJH
2021-04-19,50.22871017456055
2021-04-20,49.49555206298828
2021-04-21,50.35151672363281
2021-04-22,50.1245002746582
2021-04-23,50.96931457519531
2021-04-26,51.16841125488281
2021-04-27,51.281925201416016
2021-04-28,51.26517105102539
2021-04-29,51.283782958984375
2021-04-30,50.569236755371094
2021-05-03,50.87255096435547
2021-05-04,50.70880126953125
2021-05-05,50.61016845703125
2021-05-06,50.88185119628906
2021-05-07,51.42892837524414
2021-05-10,50.831607818603516
2021-05-11,50.34966278076172
2021-05-12,48.78286361694336
2021-05-13,49.74117660522461
2021-05-14,50.54689025878906
2021-05-17,50.50782775878906
2021-05-18,49.97935104370117
2021-05-19,49.646278381347656
2021-05-20,49.87887954711914
2021-05-21,49.955162048339844
2021-05-24,50.21196365356445
2021-05-25,49.8435173034668
2021-05-26,50.344078063964844
2021-05-27,50.636226654052734
2021-05-28,50.710655212402344
2021-06-01,50.98792266845703
2021-06-02,50.70880126953125
2021-06-03,50.43526077270508
2021-06-04,50.732975006103516
2021-06-07,50.65110397338867
2021-06-08,51.10700607299805
2021-06-09,50.775779724121094
2021-06-10,50.77540588378906
2021-06-11,51.15604782104492
2021-06-14,50.713836669921875
2021-06-15,50.665321350097656
2021-06-16,50.31827926635742
2021-06-17,49.521549224853516
2021-06-18,48.55131149291992
2021-06-21,49.69508361816406
2021-06-22,49.752933502197266
2021-06-23,49.78837585449219
2021-06-24,50.26230239868164
2021-06-25,50.72129440307617
2021-06-28,50.19886016845703
2021-06-29,50.15034866333008
2021-06-30,50.14101791381836
2021-07-01,50.59069061279297
2021-07-02,50.42835998535156
2021-07-06,49.868595123291016
2021-07-07,49.932044982910156
2021-07-08,49.31071472167969
2021-07-09,50.34999465942383
2021-07-12,50.486202239990234
2021-07-13,49.71932601928711
2021-07-14,49.433860778808594
2021-07-15,49.305118560791016
2021-07-16,48.69125747680664
2021-07-19,47.84788513183594
2021-07-20,49.20435333251953
2021-07-21,49.807037353515625
2021-07-22,49.320045471191406
2021-07-23,49.74360656738281
2021-07-26,49.820091247558594
2021-07-27,49.51222229003906
2021-07-28,49.88353729248047
2021-07-29,50.39850997924805
2021-07-30,50.32387161254883
2021-08-02,50.131690979003906
2021-08-03,50.424625396728516
2021-08-04,49.913387298583984
2021-08-05,50.38544464111328
2021-08-06,50.62054443359375
2021-08-09,50.47314453125
2021-08-10,50.65599822998047
2021-08-11,51.06648635864258
2021-08-12,50.982521057128906
2021-08-13,50.90788650512695
2021-08-16,50.77913284301758
2021-08-17,50.1522102355957
2021-08-18,49.68389129638672
2021-08-19,49.26593017578125
2021-08-20,49.872337341308594
2021-08-23,50.30522155761719
2021-08-24,50.79405975341797
2021-08-25,51.07582092285156
2021-08-26,50.614952087402344
2021-08-27,51.60011291503906
2021-08-30,51.4676399230957
2021-08-31,51.323974609375
2021-09-01,51.46950149536133
2021-09-02,51.691532135009766
2021-09-03,51.44152069091797
2021-09-07,50.85190963745117
2021-09-08,50.6821174621582
2021-09-09,50.573890686035156
2021-09-10,50.099971771240234
2021-09-13,50.39291000366211
2021-09-14,49.85927200317383
2021-09-15,50.407840728759766
2021-09-16,50.32387161254883
2021-09-17,49.92831802368164
2021-09-20,49.14279556274414
2021-09-21,49.09987258911133
2021-09-22,49.73986053466797
2021-09-23,50.44328689575195
2021-09-24,50.33635330200195
2021-09-27,50.81201171875
2021-09-28,50.02176284790039
2021-09-29,50.04047393798828
2021-09-30,49.26333999633789
2021-10-01,50.06295394897461
2021-10-04,49.802650451660156
2021-10-05,49.840110778808594
2021-10-06,49.77644348144531
2021-10-07,50.50490188598633
2021-10-08,50.2015266418457
2021-10-11,49.928123474121094
2021-10-12,50.2183837890625
2021-10-13,50.41688919067383
2021-10-14,51.26893997192383
2021-10-15,51.317623138427734
2021-10-18,51.42435073852539
2021-10-19,51.56855392456055
2021-10-20,51.98615264892578
2021-10-21,52.11536407470703
2021-10-22,52.20337677001953
2021-10-25,52.47865295410156
2021-10-26,52.13782501220703
2021-10-27,51.31949996948242
2021-10-28,52.13034439086914
2021-10-29,52.180908203125
2021-11-01,53.255794525146484
2021-11-02,53.366275787353516
2021-11-03,53.965518951416016
2021-11-04,53.787628173828125
2021-11-05,54.263275146484375
2021-11-08,54.29136657714844
2021-11-09,54.22956085205078
2021-11-10,53.7483024597168
2021-11-11,54.036685943603516
2021-11-12,54.2258186340332
2021-11-15,54.34004592895508
2021-11-16,54.407466888427734
2021-11-17,53.94866180419922
2021-11-18,53.89061737060547
2021-11-19,53.639678955078125
